BEfore,before,s,Sequence,0
we,we,s,,0
proceed,proceed,s,Sequence,0
any,any,s,Specifiers,0
further,further,c,Specifiers,1
",",",",s,,0
hear,hear,s,SpaceRelation,0
me,me,s,FirstPer,0
speak,speak,c,ReportingEvents,0
.,.,nnn,Imperative,0
Speak,speak,c,Imperative,1
",",",",s,,0
speak,speak,c,ReportingEvents,0
.,.,nnn,,0
You,you,s,DirectAddress,0
are,are,s,DirectAddress,1
all,all,s,DirectAddress,2
resolved,resolved,s,ReportingEvents,0
rather,rather,s,Resistance,0
to,to,s,ProjectAhead,0
die,die,s,ProjectAhead,1
then,then,s,TimeShift,0
to,to,s,TimeShift,1
famish,famish,c,Negativity,0
?,?,nnn,Question,0
Resolved,resolved,c,ReportingStates,0
",",",",s,ReportingStates,1
resolved,resolved,c,ReportingStates,0
.,.,nnn,ReportingStates,1
First,first,s,Sequence,0
you,you,s,Sequence,1
know,know,c,Confidence,0
",",",",s,,0
Caius,caius,s,UNRECOGNIZED,0
Martius,martius,s,UNRECOGNIZED,0
is,is,s,ReportingStates,0
chief,chief,s,CommonAuthorities,0
enemy,enemy,s,Negativity,0
to,to,s,CommonAuthorities,0
the,the,s,CommonAuthorities,1
people,people,c,CommonAuthorities,2
.,.,nnn,,0
We,we,s,,0
know,know,s,Confidence,0
it,it,c,,0
",",",",s,,0
we,we,s,,0
know,know,s,Confidence,0
it,it,c,,0
.,.,nnn,DirectAddress,0
Let,let,s,DirectAddress,1
us,us,s,DirectAddress,2
kill,kill,s,Negativity,0
him,him,c,PersonPronoun,0
",",",",s,,0
and,and,s,,0
we,we,s,Metadiscourse,0
will,will,s,Metadiscourse,1
have,have,s,Metadiscourse,2
Corn,corn,s,SenseObject,0
at,at,s,SpaceRelation,0
our,our,s,SpaceRelation,1
own,own,s,ReportingEvents,0
price,price,c,AbstractConcepts,0
.,.,s,Question,0
Is,is,s,Question,1
It,it,s,Question,2
a,a,s,,0
Verdict,verdict,c,CommonAuthorities,0
?,?,nnn,Question,0
No,no,s,DenyDisclaim,0
more,more,s,DenyDisclaim,1
talking,talking,s,SubjectiveTime,0
on,on,s,SubjectiveTime,1
it,it,c,,0
;,;,s,,0
Let,let,s,CommonAuthorities,0
it,it,s,CommonAuthorities,1
be,be,s,CommonAuthorities,2
done,done,c,ReportingStates,0
",",",",s,ReportingStates,1
away,away,c,,0
",",",",s,,0
away,away,nnn,,0
One,one,s,Numbers,0
word,word,c,LangRef,0
",",",",s,,0
good,good,s,StandardsPos,0
Citizens,citizens,c,StandardsPos,1
.,.,nnn,,0
We,we,s,ReportingStates,0
are,are,s,ReportingStates,1
accounted,accounted,s,ReportingEvents,0
poor,poor,s,Negativity,0
Citizens,citizens,c,CommonAuthorities,0
",",",",s,,0
the,the,s,,0
Patricians,patricians,s,PersonProperty,0
good,good,c,,0
:,:,s,Question,0
what,what,s,Question,1
Authority,authority,s,CommonAuthorities,0
surfets,surfets,n,UNRECOGNIZED,0
one,one,c,Numbers,0
",",",",s,,0
would,would,s,ProjectBack,0
relieve,relieve,s,Reassure,0
us,us,c,Inclusive,0
.,.,s,,0
If,if,s,Contingency,0
they,they,s,Contingency,1
would,would,s,ProjectBack,0
yield,yield,s,ReportingEvents,0
us,us,s,Inclusive,0
but,but,s,Resistance,0
the,the,s,,0
superfluity,superfluity,s,Negativity,0
while,while,s,TimeDuration,0
it,it,n,,0
were,were,s,ProjectBack,0
wholesome,wholesome,c,StandardsPos,0
",",",",s,,0
we,we,s,,0
might,might,s,Uncertainty,0
guess,guess,s,Uncertainty,1
they,they,s,,0
relieved,relieved,s,Reassure,0
us,us,s,Inclusive,0
humanely,humanely,c,StandardsPos,0
:,:,s,,0
But,but,s,Resistance,0
they,they,s,PrivateThinking,0
think,think,s,PrivateThinking,1
we,we,n,ReportingStates,0
are,are,s,ReportingStates,1
too,too,s,,0
dear,dear,c,Positivity,0
",",",",s,,0
the,the,s,,0
leanness,leanness,s,SenseProperty,0
that,that,s,,0
afflicts,afflicts,s,Negativity,0
us,us,c,Inclusive,0
",",",",s,,0
the,the,s,,0
object,object,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
our,our,s,Inclusive,0
misery,misery,c,StandardsNeg,0
",",",",s,,0
is,is,s,ReportingStates,0
as,as,n,,0
an,an,s,,0
inuentory,inuentory,s,UNRECOGNIZED,0
to,to,s,,0
particularize,particularize,s,Transformation,0
their,their,s,PersonPronoun,0
abundance,abundance,c,Positivity,0
",",",",s,,0
our,our,s,Inclusive,0
sufferance,sufferance,s,SubjectivePercept,0
is,is,s,ReportingStates,0
a,a,s,ReportingStates,1
gain,gain,s,Transformation,0
to,to,n,Transformation,1
them,them,c,,0
.,.,s,DirectAddress,0
Let,let,s,DirectAddress,1
us,us,s,DirectAddress,2
revenge,revenge,s,Resistance,0
this,this,s,,0
with,with,s,Inclusive,0
our,our,s,Inclusive,1
Pikes,pikes,c,SenseObject,0
",",",",s,,0
ere,ere,s,ProjectBack,0
we,we,s,,0
become,become,s,Transformation,0
Rakes,rakes,c,SpaceRelation,0
.,.,s,,0
For,for,s,,0
the,the,s,,0
Gods,gods,n,CommonAuthorities,0
know,know,c,Confidence,0
",",",",s,,0
I,i,s,FirstPer,0
speak,speak,s,ReportingEvents,0
this,this,s,,0
in,in,s,,0
hunger,hunger,s,Intensity,0
for,for,s,Intensity,1
