GRegory,gregory,c,UNRECOGNIZED,0
:,:,s,,0
A,a,s,,0
my,my,s,OralCues,0
word,word,s,OralCues,1
we,we,s,,0
will,will,s,PredictedFuture,0
not,not,s,PredictedFuture,1
carry,carry,s,Motions,0
coals,coals,c,SenseObject,0
.,.,nnn,,0
No,no,c,OralCues,0
",",",",s,OralCues,1
for,for,s,,0
then,then,s,Sequence,0
we,we,s,Sequence,1
should,should,s,Insist,0
be,be,s,ReportingStates,0
Colliars,colliars,c,UNRECOGNIZED,0
.,.,nnn,,0
I,i,s,SelfDisclosure,0
mean,mean,c,SelfDisclosure,1
",",",",s,,0
if,if,s,Contingency,0
we,we,s,,0
be,be,s,ReportingStates,0
in,in,s,ReportingStates,1
choler,choler,c,Negativity,0
",",",",s,,0
we,we,s,,0
will,will,s,PredictedFuture,0
draw,draw,c,Motions,0
.,.,nnn,,0
I,i,c,FirstPer,0
",",",",s,,0
While,while,s,TimeDuration,0
you,you,s,DirectAddress,0
live,live,c,,0
",",",",s,,0
draw,draw,s,Motions,0
your,your,s,DirectAddress,0
neck,neck,s,SenseObject,0
out,out,s,,0
of,of,s,,0
th,th,s,UNRECOGNIZED,0
Collar,collar,c,SenseObject,0
.,.,nnn,,0
I,i,s,FirstPer,0
strike,strike,s,Negativity,0
quickly,quickly,c,SubjectiveTime,0
",",",",s,,0
being,being,s,ReportingStates,0
moved,moved,c,ReportingStates,0
.,.,nnn,ReportingStates,1
But,but,s,Resistance,0
thou,thou,s,DirectAddress,0
art,art,s,AbstractConcepts,0
not,not,s,DenyDisclaim,0
quickly,quickly,s,SubjectiveTime,0
moved,moved,s,SceneShift,0
to,to,s,SceneShift,1
strike,strike,c,Negativity,0
.,.,nnn,,0
A,a,s,SenseObject,0
dog,dog,s,SenseObject,1
of,of,s,,0
the,the,s,SenseObject,0
house,house,s,SenseObject,1
of,of,s,,0
Mountague,mountague,c,UNRECOGNIZED,0
",",",",s,,0
moves,moves,s,Motions,0
me,me,c,FirstPer,0
.,.,nnn,,0
To,to,s,,0
move,move,c,Motions,0
",",",",s,,0
is,is,s,ProjectAhead,0
to,to,s,ProjectAhead,1
stir,stir,c,Motions,0
:,:,s,,0
and,and,s,,0
to,to,s,GenericEvents,0
be,be,s,GenericEvents,1
valiant,valiant,c,StandardsPos,0
",",",",s,,0
is,is,s,ProjectAhead,0
to,to,s,ProjectAhead,1
stand,stand,c,AbstractConcepts,0
:,:,n,,0
Therefore,therefore,c,ReasonForward,0
",",",",s,,0
if,if,s,Contingency,0
thou,thou,s,DirectAddress,0
art,art,s,AbstractConcepts,0
moved,moved,c,ReportingStates,0
",",",",s,ReportingStates,1
thou,thou,s,DirectAddress,0
runst,runst,s,UNRECOGNIZED,0
away,away,c,,0
.,.,nn,,0
A,a,s,SenseObject,0
dog,dog,s,SenseObject,1
of,of,s,Specifiers,0
that,that,s,Specifiers,1
house,house,s,SenseObject,0
shall,shall,s,ProjectAhead,0
move,move,s,Motions,0
me,me,s,FirstPer,0
to,to,s,,0
stand,stand,c,AbstractConcepts,0
.,.,n,,0
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
take,take,s,ReportingEvents,0
the,the,s,ReportingEvents,1
wall,wall,s,SenseObject,0
of,of,s,,0
any,any,s,,0
Man,man,s,PersonProperty,0
or,or,s,,0
Maid,maid,s,PersonProperty,0
of,of,s,,0
Mountagues,mountagues,c,UNRECOGNIZED,0
.,.,nn,,0
That,that,s,,0
shows,shows,s,ReportingEvents,0
thee,thee,s,DirectAddress,0
a,a,s,,0
weak,weak,s,Negativity,0
slave,slave,c,PersonProperty,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
the,the,s,,0
weakest,weakest,s,Negativity,0
goes,goes,s,Intensity,0
to,to,s,Intensity,1
the,the,s,Intensity,2
wall,wall,c,Intensity,3
.,.,nnn,,0
True,true,c,Concessive,0
",",",",s,Concessive,1
and,and,s,,0
therefore,therefore,s,ReasonForward,0
women,women,s,PersonProperty,0
being,being,s,ReportingStates,0
the,the,s,ReportingStates,1
weaker,weaker,s,PersonProperty,0
Vessels,vessels,c,PersonProperty,1
",",",",s,,0
are,are,s,RecurringEvents,0
ever,ever,s,RecurringEvents,1
thrust,thrust,s,ReportingEvents,0
to,to,s,,0
the,the,n,SenseObject,0
wall,wall,c,SenseObject,1
:,:,s,,0
therefore,therefore,s,ReasonForward,0
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
push,push,s,Motions,0
Mountagues,mountagues,s,UNRECOGNIZED,0
men,men,s,PersonProperty,0
from,from,s,SpaceRelation,0
the,the,s,SpaceRelation,1
wall,wall,c,SpaceRelation,2
",",",",s,,0
and,and,s,,0
thrust,thrust,s,Narrative_Verbs,0
his,his,s,Narrative_Verbs,1
Maids,maids,n,PersonProperty,0
to,to,s,,0
the,the,s,SenseObject,0
wall,wall,nnn,SenseObject,1
The,the,s,,0
Quarrel,quarrel,s,Negative_Relation,0
is,is,s,ReportingStates,0
between,between,s,Inclusive,0
our,our,s,Inclusive,1
Masters,masters,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
us,us,s,Inclusive,0
their,their,s,PersonPronoun,0
men,men,c,PersonProperty,0
.,.,nnn,ReportingStates,0
It,it,s,ReportingStates,1
Is,is,s,ReportingStates,2
all,all,s,SubjectivePercept,0
one,one,c,SubjectivePercept,1
",",",",s,,0
I,i,s,Metadiscourse,0
will,will,s,Metadiscourse,1
show,show,s,Metadiscourse,2
my,my,s,FirstPer,0
self,self,s,SubjectivePercept,0
a,a,s,,0
tyrant,tyrant,c,Negative_Relation,0
:,:,s,,0
when,when,s,Autobio,0
I,i,s,Autobio,1
have,have,s,Autobio,2
fought,fought,s,Resistance,0
with,with,s,Specifiers,0
the,the,s,Specifiers,1
men,men,c,PersonProperty,0
",",",",n,,0
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
be,be,s,PredictedFuture,1
civil,civil,s,CommonAuthorities,0
with,with,s,Specifiers,0
the,the,s,Specifiers,1
Maids,maids,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
cut,cut,s,ReportingEvents,0
off,off,s,ReportingEvents,1
their,their,s,PersonPronoun,0
heads,heads,nnn,SenseObject,0
The,the,s,SenseObject,0
heads,heads,s,SenseObject,1
of,of,s,,0
the,the,s,,0
Maids,maids,c,PersonProperty,0
?,?,nnn,Question,0
I,i,c,FirstPer,0
",",",",s,,0
the,the,s,SenseObject,0
heads,heads,s,SenseObject,1
of,of,s,,0
the,the,s,,0
Maids,maids,c,PersonProperty,0
",",",",s,,0
or,or,s,,0
their,their,s,PersonPronoun,0
Maiden-heads,maiden-heads,c,UNRECOGNIZED,0
",",",",n,,0
Take,take,s,Responsibility,0
it,it,s,Responsibility,1
in,in,s,,0
what,what,s,,0
sense,sense,s,AbstractConcepts,0
thou,thou,s,DirectAddress,0
will,will,c,PredictedFuture,0
.,.,nn,,0
They,they,s,Insist,0
must,must,s,Insist,1
take,take,s,Responsibility,0
it,it,s,Responsibility,1
sense,sense,c,AbstractConcepts,0
",",",",s,,0
that,that,s,,0
feel,feel,s,SubjectivePercept,0
it,it,c,SubjectivePercept,1
*,*,nnn,,0
Me,me,s,FirstPer,0
they,they,s,,0
shall,shall,s,ProjectAhead,0
feel,feel,s,PrivateThinking,0
while,while,s,TimeDuration,0
I,i,s,TimeDuration,1
am,am,s,TimeDuration,2
able,able,s,StandardsPos,0
to,to,s,StandardsPos,1
stand,stand,c,AbstractConcepts,0
:,:,n,,0
And,and,s,ReportingStates,0
it,it,s,ReportingStates,1
is,is,s,ReportingStates,2
known,known,s,CommonAuthorities,0
I,i,s,SelfDisclosure,0
