GAllants,gallants,c,SubjectivePercept,0
",",",",s,,0
our,our,s,Inclusive,0
Poets,poets,s,PersonProperty,0
have,have,s,,0
of,of,s,Immediacy,0
late,late,s,Immediacy,1
sous'd,sous'd,s,UNRECOGNIZED,0
ye,ye,c,OralCues,0
",",",",n,,0
In,in,s,GenericEvents,0
Play,play,s,GenericEvents,1
and,and,s,,0
Prologue,prologue,s,Sequence,0
too,too,c,Metadiscourse,0
",",",",s,Metadiscourse,1
so,so,s,Intensity,0
much,much,s,Intensity,1
abused,abused,s,Negativity,0
ye,ye,c,OralCues,0
.,.,n,,0
That,that,s,,0
should,should,s,Future_Question,0
we,we,s,Future_Question,1
beg,beg,s,Intensity,0
your,your,s,DirectAddress,0
aids,aids,c,Positivity,0
",",",",s,,0
I,i,s,FirstPer,0
justly,justly,s,StandardsPos,0
fear,fear,c,Fear,0
",",",",n,,0
You,you,s,DirectAddress,0
Are,are,s,DirectAddress,1
so,so,s,,0
incensed,incensed,s,Anger,0
you,you,s,DirectAddress,0
would,would,s,DirectAddress,1
hardly,hardly,s,DenyDisclaim,0
lend,lend,s,ReportingEvents,0
it,it,s,,0
here,here,c,SpaceRelation,0
.,.,n,Resistance,0
But,but,s,Resistance,1
when,when,s,,0
against,against,s,Resistance,0
a,a,s,Resistance,1
common,common,s,AbstractConcepts,0
Foe,foe,s,Negative_Relation,0
we,we,s,,0
arm,arm,c,SenseObject,0
",",",",n,,0
Each,each,s,Specifiers,0
will,will,s,PredictedFuture,0
assist,assist,s,PredictedFuture,1
to,to,s,,0
guard,guard,s,Negativity,0
his,his,s,Negativity,1
own,own,s,ReportingEvents,0
concern,concern,c,SubjectivePercept,0
.,.,n,,0
Women,women,c,PersonProperty,0
",",",",s,,0
those,those,s,,0
charming,charming,s,Positivity,0
victors,victors,c,PersonProperty,0
",",",",s,,0
in,in,s,PersonProperty,0
whose,whose,s,PersonProperty,1
eyes,eyes,c,SenseObject,0
",",",",n,,0
Lay,lay,s,ReportingEvents,0
all,all,s,Generalization,0
their,their,s,Generalization,1
Arts,arts,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
their,their,s,PersonPronoun,0
Artilleries,artilleries,c,SenseObject,0
;,;,n,,0
Not,not,s,DenyDisclaim,0
being,being,s,DenyDisclaim,1
contened,contened,s,UNRECOGNIZED,0
with,with,s,Specifiers,0
the,the,s,Specifiers,1
wounds,wounds,s,Negativity,0
they,they,s,Neutral_Attribution,0
made,made,c,Neutral_Attribution,1
",",",",n,,0
Would,would,s,ProjectBack,0
by,by,s,,0
new,new,s,,0
Stratagems,stratagems,s,AbstractConcepts,0
our,our,s,Inclusive,0
Light,light,s,SenseProperty,0
invade,invade,c,Negativity,0
.,.,n,,0
Beauty,beauty,s,StandardsPos,0
alone,alone,s,SpaceRelation,0
goes,goes,s,ReportingEvents,0
now,now,s,Immediacy,0
at,at,s,,0
too,too,s,,0
cheap,cheap,s,AbstractConcepts,0
rates,rates,c,AbstractConcepts,1
;,;,n,,0
And,and,s,,0
therefore,therefore,s,ReasonForward,0
they,they,s,Positivity,0
like,like,s,Positivity,1
Wise,wise,s,StandardsPos,0
and,and,s,,0
Politic,politic,s,StandardsPos,0
states,states,c,AbstractConcepts,0
",",",",n,,0
Court,court,s,Positivity,0
a,a,s,Positivity,1
new,new,s,,0
power,power,s,AbstractConcepts,0
that,that,s,Uncertainty,0
may,may,s,Uncertainty,1
the,the,s,,0
old,old,s,SenseProperty,0
supply,supply,c,AbstractConcepts,0
",",",",n,,0
And,and,s,,0
keep,keep,s,TimeDuration,0
as,as,s,Metadiscourse,0
well,well,s,Metadiscourse,1
as,as,s,Metadiscourse,2
gain,gain,s,,0
the,the,s,,0
victory,victory,c,Positivity,0
