TRuth,truth,s,StandardsPos,0
says,says,c,Citations,0
",",",",s,,0
of,of,s,ReceivedPOV,0
old,old,c,ReceivedPOV,1
",",",",s,,0
the,the,s,StandardsPos,0
art,art,s,StandardsPos,1
of,of,s,StandardsPos,2
making,making,s,ReportingEvents,0
Plays,plays,n,ReportingEvents,0
Was,was,s,ProjectBack,0
to,to,s,,0
content,content,s,AbstractConcepts,0
the,the,s,PersonProperty,0
people,people,c,PersonProperty,1
;,;,s,,0
and,and,s,,0
their,their,s,PersonPronoun,0
praise,praise,n,StandardsPos,0
Was,was,s,ProjectBack,0
to,to,s,,0
the,the,s,,0
Poet,poet,s,PersonProperty,0
money,money,c,AbstractConcepts,0
",",",",s,,0
wine,wine,c,SenseObject,0
",",",",s,,0
and,and,s,,0
bays,bays,c,SenseObject,0
.,.,n,Resistance,0
But,but,s,Resistance,1
in,in,s,,0
this,this,s,,0
age,age,c,Specifiers,0
",",",",s,,0
a,a,s,,0
sect,sect,s,PersonProperty,0
of,of,s,PersonProperty,1
Writers,writers,s,PersonProperty,0
are,are,c,ReportingStates,0
",",",",n,,0
That,that,c,,0
",",",",s,,0
only,only,c,SubjectivePercept,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
particular,particular,s,Specifiers,0
likings,likings,s,Positivity,0
care,care,c,StandardsPos,0
",",",",n,,0
And,and,s,,0
will,will,s,PredictedFuture,0
taste,taste,s,SenseProperty,0
nothing,nothing,s,DenyDisclaim,0
that,that,s,Specifiers,0
is,is,s,Specifiers,1
populare,populare,c,UNRECOGNIZED,0
.,.,n,,0
With,with,s,Specifiers,0
such,such,s,Specifiers,1
we,we,s,,0
mingle,mingle,s,SpaceRelation,0
neither,neither,s,DenyDisclaim,0
brains,brains,c,SenseObject,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
breasts,breasts,c,SenseObject,0
;,;,n,,0
Our,our,s,Inclusive,0
wishes,wishes,c,SubjectivePercept,0
",",",",s,,0
like,like,s,SubjectivePercept,0
to,to,s,SubjectivePercept,1
those,those,s,,0
(,(,c,,0
make,make,s,CommonAuthorities,0
public,public,s,CommonAuthorities,1
feasts,feasts,c,SenseObject,0
),),n,,0
Are,are,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
to,to,s,,0
please,please,s,Positivity,0
the,the,s,,0
Cooks,cooks,s,ReportingEvents,0
tastes,tastes,c,AbstractConcepts,0
",",",",s,Resistance,0
but,but,s,Resistance,1
the,the,s,,0
guests,guests,c,PersonProperty,0
.,.,n,Resistance,0
Yet,yet,c,Resistance,1
",",",",s,,0
if,if,s,Contingency,0
those,those,s,,0
cunning,cunning,s,Negativity,0
palates,palates,s,PersonProperty,0
hither,hither,s,SpaceRelation,0
come,come,c,DirectAddress,0
",",",",n,DirectAddress,1
They,they,s,,0
shall,shall,s,ProjectAhead,0
find,find,s,,0
guests,guests,s,PersonProperty,0
entreatie,entreatie,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
good,good,s,,0
room,room,c,SenseObject,0
;,;,n,,0
And,and,s,,0
though,though,s,Concessive,0
all,all,s,,0
relish,relish,s,Positivity,0
not,not,c,DenyDisclaim,0
",",",",s,,0
sure,sure,c,ConfirmedThght,0
",",",",s,ConfirmedThght,1
there,there,s,PredictedFuture,0
will,will,s,PredictedFuture,1
be,be,s,PredictedFuture,2
some,some,c,Uncertainty,0
",",",",n,,0
That,that,c,,0
",",",",s,,0
when,when,s,TimeShift,0
they,they,s,TimeShift,1
leave,leave,s,SceneShift,0
their,their,s,SceneShift,1
seats,seats,c,SenseObject,0
",",",",s,,0
shall,shall,s,ProjectAhead,0
make,make,s,ReportingEvents,0
',',c,,0
hem,hem,s,SenseObject,0
say,say,c,Citations,0
",",",",n,,0
Who,who,s,,0
wrote,wrote,s,Citations,0
that,that,s,Citations,1
piece,piece,c,AbstractConcepts,0
",",",",s,,0
could,could,s,Contingency,0
so,so,s,,0
have,have,s,,0
wrote,wrote,s,Narrative_Verbs,0
a,a,s,Narrative_Verbs,1
Play,play,c,ReportingEvents,0
:,:,n,,0
But,but,s,Resistance,0
that,that,c,Resistance,1
",",",",s,,0
he,he,s,Neutral_Attribution,0
knew,knew,c,Neutral_Attribution,1
",",",",s,,0
this,this,s,ProjectBack,0
was,was,s,ProjectBack,1
the,the,s,Positivity,0
better,better,s,Positivity,1
way,way,c,Positivity,2
.,.,n,,0
For,for,c,,0
",",",",s,,0
to,to,s,,0
present,present,s,,0
all,all,s,,0
Custard,custard,c,SenseObject,0
",",",",s,,0
or,or,s,,0
all,all,s,,0
Tart,tart,c,SenseProperty,0
",",",",n,,0
And,and,s,,0
have,have,s,,0
no,no,s,Exceptions,0
other,other,s,Exceptions,1
meats,meats,c,SenseObject,0
",",",",s,,0
to,to,s,,0
bear,bear,s,SenseObject,0
a,a,s,,0
part,part,c,,0
",",",",n,,0
Or,or,s,,0
to,to,s,,0
want,want,s,ProjectAhead,0
bread,bread,c,SenseObject,0
",",",",s,,0
and,and,s,,0
salt,salt,c,SenseObject,0
",",",",s,,0
were,were,s,ProjectBack,0
but,but,s,Resistance,0
course,course,s,AbstractConcepts,0
art,art,c,AbstractConcepts,0
.,.,n,,0
The,the,s,,0
Poet,poet,s,PersonProperty,0
prays,prays,s,Intensity,0
you,you,s,Sequence,0
then,then,c,Sequence,1
",",",",s,,0
with,with,s,,0
better,better,s,Comparison,0
thought,thought,n,ProjectAhead,0
To,to,s,ProjectAhead,1
sit,sit,c,SenseProperty,0
;,;,s,Specifiers,0
and,and,c,Specifiers,1
",",",",s,Specifiers,2
when,when,s,,0
his,his,s,PersonPronoun,0
Cates,cates,s,UNRECOGNIZED,0
are,are,s,SubjectivePercept,0
all,all,s,SubjectivePercept,1
in,in,s,,0
brought,brought,c,ReportingStates,0
",",",",n,ReportingStates,1
Though,though,s,Concessive,0
there,there,s,Concessive,1
be,be,s,ReportingStates,0
none,none,s,DenyDisclaim,0
far,far,s,SpaceRelation,0
fet,fet,c,UNRECOGNIZED,0
",",",",s,,0
there,there,s,,0
will,will,s,PredictedFuture,0
deare-bought,deare-bought,n,UNRECOGNIZED,0
Be,be,s,ReportingStates,0
fit,fit,s,StandardsPos,0
for,for,s,StandardsPos,1
Ladies,ladies,c,PersonProperty,0
:,:,s,,0
some,some,s,Uncertainty,0
for,for,s,,0
Lords,lords,c,CommonAuthorities,0
",",",",s,,0
Knights,knights,c,PersonProperty,0
",",",",s,,0
Squires,squires,c,PersonProperty,0
",",",",n,,0
Some,some,s,Uncertainty,0
for,for,s,DirectAddress,0
your,your,s,DirectAddress,1
waiting,waiting,s,ProjectAhead,0
wench,wench,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
Citie-wires,citie-wires,c,UNRECOGNIZED,0
",",",",n,,0
Some,some,s,Uncertainty,0
for,for,s,DirectAddress,0
your,your,s,DirectAddress,1
men,men,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
daughters,daughters,s,PersonProperty,0
of,of,s,,0
White-Fryars,white-fryars,c,UNRECOGNIZED,0
.,.,n,Metadiscourse,0
Nor,nor,s,Metadiscourse,1
is,is,s,Question,0
it,it,c,Question,1
",",",",s,,0
only,only,c,SubjectivePercept,0
",",",",s,,0
while,while,s,TimeDuration,0
you,you,s,DirectAddress,0
keep,keep,s,DirectAddress,0
your,your,s,DirectAddress,1
seat,seat,n,SenseObject,0
Here,here,c,SpaceRelation,0
",",",",s,SpaceRelation,1
that,that,s,,0
his,his,s,PersonPronoun,0
feast,feast,s,SenseObject,0
will,will,s,PredictedFuture,0
last,last,c,Sequence,0
;,;,s,Resistance,0
but,but,s,Resistance,1
you,you,s,Insist,0
shall,shall,s,Insist,1
eat,eat,n,ReportingEvents,0
A,a,s,TimeDuration,0
week,week,s,TimeDuration,1
at,at,s,,0
Ord'narie^,ord'narie^,c,UNRECOGNIZED,0
",",",",s,,0
on,on,s,,0
his,his,s,PersonPronoun,0
broken,broken,s,SenseProperty,0
meat,meat,c,SenseObject,0
:,:,n,,0
If,if,s,Contingency,0
his,his,s,PersonPronoun,0
Muse,muse,s,PrivateThinking,0
be,be,s,ReportingStates,0
true,true,c,Concessive,0
",",",",n,Concessive,1
Who,who,s,,0
commends,commends,s,StandardsPos,0
her,her,s,StandardsPos,1
to,to,s,DirectAddress,0
you,you,c,DirectAddress,1
.,.,n,,0
THe,the,s,Sequence,0
ends,ends,s,Sequence,1
of,of,s,Sequence,2
all,all,c,,0
",",",",s,,0
who,who,s,,0
for,for,s,,0
the,the,s,SpaceRelation,0
Scene,scene,s,SpaceRelation,1
do,do,s,Intensity,0
write,write,c,ReportingEvents,0
",",",",n,,0
Are,are,c,ReportingStates,0
",",",",n,,0
And,and,s,Updates,0
still,still,s,Updates,1
',',c,,0
t,t,s,AbstractConcepts,0
has,has,s,ProjectBack,0
been,been,s,ProjectBack,1
the,the,s,,0
praise,praise,s,StandardsPos,0
of,of,s,StandardsPos,1
all,all,s,,0
best,best,s,Comparison,0
times,times,c,AbstractConcepts,0
",",",",n,ReasonForward,0
So,so,s,ReasonForward,1
persons,persons,s,PersonProperty,0
were,were,s,ProjectBack,0
not,not,s,DenyDisclaim,0
touched,touched,c,ReportingStates,0
",",",",s,ReportingStates,1
to,to,s,,0
tax,tax,s,Negativity,0
the,the,s,Negativity,1
crimes,crimes,c,StandardsNeg,0
.,.,n,Sequence,0
Then,then,c,Sequence,1
",",",",s,,0
in,in,s,,0
this,this,s,,0
Play,play,c,ReportingEvents,0
",",",",s,Aside,0
which,which,s,Aside,1
we,we,s,Metadiscourse,0
present,present,s,Metadiscourse,1
tonight,tonight,c,ProjectAhead,0
",",",",n,,0
And,and,s,,0
make,make,s,ReportingEvents,0
the,the,s,,0
object,object,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
your,your,s,DirectAddress,0
ear,ear,c,SenseObject,0
",",",",s,,0
and,and,s,,0
sight,sight,c,SenseProperty,0
",",",",n,,0
On,on,s,,0
forfeit,forfeit,s,Negativity,0
of,of,s,DirectAddress,0
your,your,s,DirectAddress,1
selves,selves,c,SubjectivePercept,0
",",",",s,,0
think,think,s,PrivateThinking,0
nothing,nothing,s,DenyDisclaim,0
true,true,c,Concessive,0
",",",",n,Concessive,1
Lest,lest,s,Negativity,0
so,so,s,DirectAddress,0
you,you,s,DirectAddress,1
make,make,s,ReportingEvents,0
the,the,s,,0
maker,maker,s,PersonProperty,0
to,to,s,CommonAuthorities,0
judge,judge,s,CommonAuthorities,1
you,you,c,DirectAddress,0
.,.,n,,0
For,for,s,,0
he,he,s,Neutral_Attribution,0
knows,knows,c,Neutral_Attribution,1
",",",",s,,0
Poet,poet,s,PersonProperty,0
never,never,s,DenyDisclaim,0
credit,credit,s,StandardsPos,0
gained,gained,n,StandardsPos,0
By,by,s,StandardsPos,1
writing,writing,s,GenericEvents,0
truths,truths,c,StandardsPos,0
",",",",s,Resistance,0
but,but,s,Resistance,1
things,things,s,Uncertainty,0
(,(,c,,0
like,like,s,SubjectivePercept,0
truths,truths,c,StandardsPos,0
),),s,,0
well,well,s,SenseObject,0
feigned,feigned,c,SubjectivePercept,0
.,.,n,,0
If,if,s,Contingency,0
any,any,c,Contingency,1
",",",",s,Resistance,0
yet,yet,c,Resistance,1
",",",",s,,0
will,will,s,PredictedFuture,0
(,(,c,,0
with,with,s,,0
particular,particular,s,Specifiers,0
slight,slight,n,SenseProperty,0
Of,of,s,SenseProperty,1
application,application,c,AbstractConcepts,0
),),s,,0
wrest,wrest,s,Resistance,0
what,what,s,,0
he,he,s,PersonPronoun,0
does,does,s,ReportingEvents,0
write,write,c,ReportingEvents,0
;,;,n,,0
And,and,s,,0
that,that,s,,0
he,he,s,PersonPronoun,0
meant,meant,s,SubjectivePercept,0
or,or,s,,0
him,him,c,PersonPronoun,0
",",",",s,,0
or,or,s,,0
her,her,c,PersonPronoun,0
",",",",s,,0
will,will,s,PredictedFuture,0
say,say,c,Citations,0
:,:,n,Citations,1
They,they,s,,0
make,make,s,ReportingEvents,0
a,a,s,,0
Libell,libell,c,UNRECOGNIZED,0
",",",",s,Aside,0
which,which,s,Aside,1
he,he,s,Aside,2
made,made,s,Motions,0
a,a,s,Motions,1
Play,play,c,Motions,2
.,.,nnnnn,,0
Yes,yes,c,OralCues,0
",",",",s,OralCues,1
Sir,sir,c,PersonProperty,0
.,.,nnn,DirectAddress,0
Let,let,s,DirectAddress,1
me,me,s,DirectAddress,2
hear,hear,s,SpaceRelation,0
it,it,c,,0
.,.,nnn,,0
You,you,s,Insist,0
shall,shall,c,Insist,1
",",",",s,,0
Sir,sir,c,PersonProperty,0
",",",",s,Resistance,0
but,but,s,Resistance,1
i'saith,i'saith,s,UNRECOGNIZED,0
let,let,s,ReportingEvents,0
no,no,s,DenyDisclaim,0
body,body,s,SenseObject,0
else,else,c,Contingency,0
.,.,nnn,Question,0
Why,why,c,Question,1
",",",",s,Question,2
I,i,s,FirstPer,0
pay,pay,c,ReportingEvents,0
?,?,nnn,Question,0
It,it,s,PredictedFuture,0
will,will,s,PredictedFuture,1
get,get,s,DirectAddress,0
you,you,s,DirectAddress,1
the,the,s,,0
dangerous,dangerous,s,Fear,0
name,name,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
a,a,s,,0
Poet,poet,s,PersonProperty,0
in,in,s,SpaceRelation,0
Town,town,c,SpaceRelation,1
",",",",s,,0
Sir,sir,c,PersonProperty,0
",",",",s,,0
besides,besides,s,Exceptions,0
me,me,s,Exceptions,1
a,a,n,StandardsPos,0
perfect,perfect,s,StandardsPos,1
deal,deal,s,GenericEvents,0
of,of,s,GenericEvents,1
ill,ill,s,Negativity,0
will,will,s,Negativity,1
at,at,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Mansion,mansion,s,SpaceRelation,2
you,you,s,DirectAddress,0
wot,wot,s,Confidence,0
of,of,c,Confidence,1
",",",",s,,0
whose,whose,s,PersonPronoun,0
Lady,lady,s,PersonProperty,0
is,is,s,ReportingStates,0
the,the,n,ReportingStates,1
Argument,argument,s,LangRef,0
of,of,s,,0
it,it,c,,0
:,:,s,Question,0
where,where,s,Question,1
now,now,s,Immediacy,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
the,the,s,SelfDisclosure,2
welcom'st,welcom'st,s,UNRECOGNIZED,0
thing,thing,s,Uncertainty,0
under,under,s,SpaceRelation,0
a,a,s,SpaceRelation,1
man,man,s,PersonProperty,0
that,that,s,,0
comes,comes,s,ReportingEvents,0
there,there,nnn,,0
I,i,s,SelfDisclosure,0
think,think,c,SelfDisclosure,1
",",",",s,,0
and,and,s,,0
above,above,s,SpaceRelation,0
a,a,s,SpaceRelation,1
man,man,s,PersonProperty,0
too,too,c,Metadiscourse,0
",",",",s,Metadiscourse,1
if,if,s,Contingency,0
the,the,s,Contingency,1
truth,truth,s,StandardsPos,0
were,were,s,ProjectBack,0
racked,racked,s,ReportingEvents,0
out,out,s,DirectAddress,0
of,of,s,DirectAddress,1
you,you,c,DirectAddress,2
.,.,nnn,,0
No,no,s,DenyDisclaim,0
faith,faith,c,StandardsPos,0
",",",",s,,0
I,i,s,SelfDisclosure,0
Will,will,s,SelfDisclosure,1
confess,confess,s,SelfDisclosure,2
before,before,c,Sequence,0
",",",",s,,0
Sir,sir,c,PersonProperty,0
.,.,s,,0
The,the,s,,0
Gentlewomen,gentlewomen,s,PersonProperty,0
play,play,s,SpaceRelation,0
with,with,s,SpaceRelation,1
me,me,c,FirstPer,0
",",",",s,,0
and,and,s,,0
throw,throw,n,Motions,0
me,me,s,FirstPer,0
