BARTHOLMEW,bartholmew,s,UNRECOGNIZED,0
FAIR,fair,c,StandardsPos,0
:,:,s,,0
A,a,s,,0
COMEDY,comedy,c,Positivity,0
",",",",s,,0
ACTED,acted,s,ReportingEvents,0
IN,in,s,TimeDuration,0
THE,the,s,TimeDuration,1
YEAR,year,c,TimeDuration,2
",",",",s,,0
1614,1614,c,UNRECOGNIZED,0
.,.,nn,,0
By,by,s,,0
the,the,s,PersonProperty,0
Lady,lady,s,PersonProperty,1
ELIZABETH'S,elizabeth's,s,UNRECOGNIZED,0
SERVANTS,servants,c,PersonProperty,0
.,.,nn,TimeShift,0
And,and,s,TimeShift,1
then,then,s,TimeShift,2
dedicated,dedicated,s,StandardsPos,0
to,to,s,StandardsPos,1
King,king,s,PersonProperty,0
JAMES,james,c,PersonProperty,0
",",",",s,,0
of,of,s,Intensity,0
most,most,s,Intensity,1
Blessed,blessed,s,StandardsPos,0
Memory,memory,c,PrivateThinking,0
;,;,nn,,0
By,by,s,,0
the,the,s,CommunicatorRole,0
Author,author,c,CommunicatorRole,1
",",",",s,,0
BENJAMIN,benjamin,s,PersonProperty,0
JOHNSON,johnson,c,,0
.,.,nn,,0
Si,si,s,SenseProperty,0
foret,foret,s,UNRECOGNIZED,0
in,in,s,,0
terris,terris,c,UNRECOGNIZED,0
",",",",s,,0
rideret,rideret,s,UNRECOGNIZED,0
Democritus,democritus,c,UNRECOGNIZED,0
:,:,s,,0
nam,nam,n,UNRECOGNIZED,0
Spectaret,spectaret,s,UNRECOGNIZED,0
populum,populum,s,,0
ludis,ludis,s,UNRECOGNIZED,0
attentius,attentius,s,UNRECOGNIZED,0
ipsis,ipsis,c,UNRECOGNIZED,0
",",",",n,,0
Vt,vt,s,AbstractConcepts,0
sibi,sibi,s,UNRECOGNIZED,0
praebentem,praebentem,c,UNRECOGNIZED,0
",",",",s,,0
mimo,mimo,s,UNRECOGNIZED,0
spectacula,spectacula,s,UNRECOGNIZED,0
plura,plura,c,UNRECOGNIZED,0
.,.,n,,0
Scriptores,scriptores,s,UNRECOGNIZED,0
autem,autem,s,UNRECOGNIZED,0
narrare,narrare,s,UNRECOGNIZED,0
putaret,putaret,s,UNRECOGNIZED,0
assello,assello,n,UNRECOGNIZED,0
Fabellam,fabellam,s,UNRECOGNIZED,0
surdo,surdo,c,UNRECOGNIZED,0
.,.,nnn,,0
LONDON,london,c,,0
",",",",s,,0
Printed,printed,s,ReportingEvents,0
by,by,s,,0
I,i,c,FirstPer,0
.,.,s,,0
B,b,c,,0
.,.,s,,0
for,for,s,,0
ROBERT,robert,s,PersonProperty,0
ALLOT,allot,c,ReportingEvents,0
",",",",s,,0
and,and,s,,0
are,are,s,ProjectAhead,0
to,to,s,ProjectAhead,1
be,be,s,ReportingStates,0
sold,sold,s,ReportingEvents,0
at,at,s,SpaceRelation,0
the,the,s,SpaceRelation,1
sign,sign,s,Support,0
of,of,n,Support,1
the,the,s,SenseObject,0
Bear,bear,c,SenseObject,1
",",",",s,,0
in,in,s,,0
Paul's,paul's,s,,0
Churchyard,churchyard,c,SpaceRelation,0
.,.,s,,0
1631,1631,nn,UNRECOGNIZED,0
YOur,your,s,DirectAddress,0
Majesty,majesty,s,CommonAuthorities,0
is,is,s,ReportingStates,0
welcome,welcome,s,Positivity,0
to,to,s,Positivity,1
a,a,s,Positivity,0
Fair,fair,c,Positivity,1
;,;,n,,0
Such,such,s,Intensity,0
place,place,c,SpaceRelation,0
",",",",s,,0
such,such,s,Intensity,0
men,men,c,PersonProperty,0
",",",",s,,0
such,such,s,Intensity,0
language,language,s,LangRef,0
and,and,s,,0
such,such,s,Intensity,0
ware,ware,c,SenseObject,0
",",",",n,,0
You,you,s,DirectAddress,0
must,must,s,DirectAddress,1
expect,expect,c,DirectAddress,2
:,:,s,,0
with,with,s,Immediacy,0
these,these,c,Immediacy,1
",",",",s,Immediacy,2
the,the,s,,0
zealous,zealous,s,Intensity,0
noise,noise,n,SenseProperty,0
Of,of,s,DirectAddress,0
your,your,s,DirectAddress,1
lands,lands,s,SpaceRelation,0
Faction,faction,c,StandardsNeg,0
",",",",s,,0
scandalized,scandalized,s,Negativity,0
at,at,s,,0
toys,toys,c,SenseObject,0
",",",",n,,0
As,as,s,,0
Babies,babies,c,PersonProperty,0
",",",",s,,0
Hobby-horses,hobby-horses,c,,0
",",",",s,,0
Puppet-playes,puppet-playes,c,UNRECOGNIZED,0
",",",",n,,0
And,and,s,,0
such,such,s,Resemblances,0
like,like,s,Resemblances,1
rage,rage,c,Anger,0
",",",",s,,0
whereof,whereof,s,CommonAuthorities,0
the,the,s,,0
petulant,petulant,s,Negativity,0
ways,ways,n,AbstractConcepts,0
Your,your,s,DirectAddress,0
self,self,s,SubjectivePercept,0
have,have,s,Updates,0
known,known,c,Updates,1
",",",",s,,0
and,and,s,,0
have,have,s,,0
bin,bin,s,SenseObject,0
vexed,vexed,s,Negativity,0
with,with,s,Negativity,1
long,long,c,SenseProperty,0
.,.,n,,0
These,these,s,Immediacy,0
for,for,s,DirectAddress,0
your,your,s,DirectAddress,1
sport,sport,c,AbstractConcepts,0
",",",",s,,0
without,without,s,Contingency,0
particular,particular,s,Specifiers,0
wrong,wrong,c,StandardsNeg,0
",",",",n,,0
Or,or,s,,0
just,just,s,Intensity,0
complaint,complaint,s,Negative_Relation,0
of,of,s,,0
any,any,s,,0
private,private,s,AbstractConcepts,0
man,man,c,PersonProperty,0
",",",",n,,0
(,(,c,,0
Who,who,s,DirectAddress,0
of,of,s,DirectAddress,1
himself,himself,c,PersonPronoun,0
",",",",s,,0
or,or,s,,0
shall,shall,s,ProjectAhead,0
think,think,s,StandardsPos,0
well,well,s,StandardsPos,1
or,or,s,,0
can,can,c,Contingency,0
),),n,,0
The,the,s,,0
Maker,maker,s,PersonProperty,0
does,does,s,ReportingEvents,0
present,present,c,,0
:,:,s,,0
and,and,s,,0
hopes,hopes,c,Positivity,0
",",",",s,,0
to,to,s,,0
night,night,n,,0
To,to,s,,0
give,give,s,DirectAddress,0
you,you,s,DirectAddress,1
for,for,s,DirectAddress,2
a,a,s,,0
Fayring,fayring,c,UNRECOGNIZED,0
",",",",s,,0
true,true,s,StandardsPos,0
delight,delight,c,Positivity,0
.,.,n,,0
GEntlemen,gentlemen,c,Positivity,0
",",",",s,,0
have,have,s,ReportingEvents,0
a,a,s,ReportingEvents,1
little,little,s,SenseProperty,0
patience,patience,c,StandardsPos,0
",",",",s,,0
they,they,s,ReportingStates,0
are,are,s,ReportingStates,1
even,even,s,SubjectivePercept,0
upon,upon,s,SubjectivePercept,1
coming,coming,c,GenericEvents,0
",",",",s,,0
instantly,instantly,c,Immediacy,0
.,.,s,,0
He,he,n,CommonAuthorities,0
that,that,s,CommonAuthorities,1
should,should,s,Insist,0
begin,begin,s,Sequence,0
the,the,s,Sequence,1
Play,play,c,ReportingEvents,0
",",",",s,,0
Master,master,s,PersonProperty,0
Littlewit,littlewit,c,UNRECOGNIZED,0
",",",",s,,0
the,the,s,,0
Proctor,proctor,c,CommonAuthorities,0
",",",",s,,0
has,has,s,ReportingEvents,0
a,a,s,ReportingEvents,1
stitch,stitch,s,SenseObject,0
new,new,n,SenseProperty,0
fallen,fallen,s,SenseProperty,1
in,in,s,Specifiers,0
his,his,s,Specifiers,1
black,black,s,SenseProperty,0
silk,silk,s,SenseObject,0
stocking,stocking,c,SenseObject,1
;,;,s,,0
',',c,,0
twill,twill,s,SenseObject,0
be,be,s,ReportingStates,0
drawn,drawn,s,ReportingEvents,0
up,up,s,ReportingEvents,1
ere,ere,s,ProjectBack,0
you,you,s,DirectAddress,0
can,can,s,Contingency,0
tell,tell,s,,0
twenty,twenty,c,Numbers,0
.,.,n,,0
He,he,s,Neutral_Attribution,0
plays,plays,s,Neutral_Attribution,1
one,one,s,Specifiers,0
of,of,s,Specifiers,1
the,the,s,Specifiers,2
Arches,arches,c,SpaceRelation,0
",",",",s,,0
that,that,s,,0
dwells,dwells,s,SpaceRelation,0
about,about,s,,0
the,the,s,SenseObject,0
Hospital,hospital,c,SenseObject,1
",",",",s,,0
and,and,s,,0
he,he,s,Neutral_Attribution,0
has,has,s,Neutral_Attribution,1
a,a,s,Intensity,0
very,very,n,Intensity,1
pretty,pretty,s,SubjectivePercept,0
part,part,c,AbstractConcepts,0
.,.,s,AbstractConcepts,1
But,but,s,Exceptions,0
for,for,s,Exceptions,1
the,the,s,Exceptions,2
whole,whole,s,,0
Play,play,c,ReportingEvents,0
",",",",s,,0
will,will,s,PredictedFuture,0
you,you,s,DirectAddress,0
ha'the,ha'the,s,UNRECOGNIZED,0
truth,truth,s,StandardsPos,0
on,on,s,SpaceRelation,0
it,it,c,SpaceRelation,1
?,?,s,Question,0
(,(,c,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
looking,looking,c,ReportingEvents,0
",",",",n,,0
lest,lest,s,Contingency,0
the,the,s,Contingency,1
Poet,poet,s,PersonProperty,0
hear,hear,s,SpaceRelation,0
me,me,c,FirstPer,0
",",",",s,,0
or,or,s,,0
his,his,s,PersonPronoun,0
man,man,c,PersonProperty,0
",",",",s,,0
Master,master,s,PersonProperty,0
Broom,broom,c,SenseObject,0
",",",",s,,0
behind,behind,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Arras,arras,c,SenseObject,0
),),s,,0
it,it,s,Resemblances,0
is,is,s,Resemblances,1
like,like,n,Resemblances,2
to,to,s,GenericEvents,0
be,be,s,GenericEvents,1
a,a,s,Intensity,0
very,very,s,Intensity,1
conceited,conceited,s,Negativity,0
scuruy,scuruy,s,UNRECOGNIZED,0
one,one,c,Numbers,0
",",",",s,,0
in,in,s,StandardsPos,0
plain,plain,s,StandardsPos,1
English,english,c,StandardsPos,2
.,.,s,Question,0
When,when,s,Question,1
It,it,s,,0
comes,comes,s,Transformation,0
to,to,s,Transformation,1
the,the,n,Transformation,2
Fair,fair,c,StandardsPos,0
",",",",s,,0
once,once,c,TimeShift,0
:,:,s,,0
you,you,s,DirectAddress,0
were,were,s,ProjectBack,0
even,even,s,Resistance,0
as,as,s,Resistance,1
good,good,s,,0
go,go,s,ReportingEvents,0
to,to,s,,0
Virginia,virginia,c,,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
any,any,s,Specifiers,0
thing,thing,s,Specifiers,1
there,there,s,ReportingStates,0
is,is,s,ReportingStates,1
of,of,n,,0
Smith-field,smith-field,c,UNRECOGNIZED,0
.,.,s,,0
He,he,s,Neutral_Attribution,0
has,has,s,Neutral_Attribution,1
not,not,s,DenyDisclaim,0
hit,hit,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
humors,humors,c,Positivity,0
",",",",s,,0
he,he,s,PersonPronoun,0
does,does,s,Uncertainty,0
not,not,s,Uncertainty,1
know,know,s,Uncertainty,2
',',c,,0
hem,hem,c,SenseObject,0
;,;,s,,0
he,he,s,Neutral_Attribution,0
has,has,s,Neutral_Attribution,1
not,not,n,DenyDisclaim,0
conuers'd,conuers'd,s,UNRECOGNIZED,0
with,with,s,Specifiers,0
the,the,s,Specifiers,1
