MOors,moors,c,SenseObject,0
",",",",s,,0
have,have,s,Updates,0
this,this,s,Updates,1
way,way,s,AbstractConcepts,0
(,(,c,Aside,0
as,as,s,Aside,1
Story,story,s,LangRef,0
tells,tells,c,Citations,0
),),s,,0
to,to,s,,0
know,know,n,Confidence,0
Whether,whether,s,Contingency,0
their,their,s,PersonPronoun,0
Brats,brats,s,Negative_Relation,0
are,are,s,ReportingStates,0
truly,truly,s,Intensity,0
got,got,c,ReportingStates,0
",",",",s,ReportingStates,1
or,or,s,,0
no,no,c,DenyDisclaim,0
;,;,n,,0
Into,into,s,Transformation,0
the,the,s,Transformation,1
Sea,sea,c,SenseObject,0
",",",",s,,0
the,the,s,PersonProperty,0
Newborn,newborn,s,PersonProperty,1
Babe,babe,s,SubjectivePercept,0
is,is,s,ReportingStates,0
thrown,thrown,c,ReportingStates,0
",",",",n,ReportingStates,1
There,there,c,SpaceRelation,0
",",",",s,SpaceRelation,1
as,as,s,,0
instinct,instinct,s,AbstractConcepts,0
directs,directs,c,ReportingEvents,0
",",",",s,,0
to,to,s,,0
Swim,swim,c,Motions,0
",",",",s,,0
or,or,s,,0
Drown,drown,c,Negativity,0
.,.,n,,0
A,a,s,,0
Barbarous,barbarous,s,Negativity,0
Device,device,c,SenseObject,0
",",",",s,,0
to,to,s,ProjectAhead,0
try,try,s,ProjectAhead,1
if,if,s,Contingency,0
Spouse,spouse,c,PersonProperty,0
",",",",n,,0
Have,have,s,,0
kept,kept,s,TimeDuration,0
Religiously,religiously,s,Intensity,0
her,her,s,PersonPronoun,0
Nuptial,nuptial,s,GenericEvents,0
Vows,vows,c,Intensity,0
!,!,n,,0
Such,such,s,Confidence,0
are,are,s,Confidence,1
the,the,s,,0
Trials,trials,c,AbstractConcepts,0
",",",",s,,0
Poets,poets,s,PersonProperty,0
make,make,s,Specifiers,0
of,of,s,Specifiers,1
Plays,plays,c,ReportingEvents,0
:,:,n,,0
Only,only,s,Exceptions,0
they,they,s,Exceptions,1
trust,trust,s,Confidence,0
to,to,s,Confidence,1
more,more,s,Comparison,0
inconstant,inconstant,s,StandardsNeg,0
Seas,seas,c,SenseObject,0
;,;,n,,0
So,so,c,AbstractConcepts,0
",",",",s,AbstractConcepts,1
does,does,s,ReportingEvents,0
our,our,s,Inclusive,0
Author,author,c,CommunicatorRole,0
",",",",s,,0
this,this,s,,0
his,his,s,PersonPronoun,0
Child,child,s,PersonProperty,0
commit,commit,n,PrivateThinking,0
To,to,s,PrivateThinking,1
the,the,s,,0
Tempestuous,tempestuous,s,Negativity,0
Mercy,mercy,s,StandardsPos,0
of,of,s,,0
the,the,s,SenseObject,0
Pit,pit,c,SenseObject,1
",",",",n,,0
To,to,s,,0
know,know,c,Confidence,0
",",",",s,,0
if,if,s,Contingency,0
it,it,s,Contingency,1
be,be,s,ReportingStates,0
truly,truly,s,Intensity,0
born,born,s,Biographical_Time,0
of,of,s,Biographical_Time,1
Wit,wit,c,StandardsPos,0
.,.,n,,0
Critics,critics,s,PersonProperty,0
avaunt,avaunt,c,OralCues,0
;,;,s,,0
for,for,s,DirectAddress,0
you,you,s,DirectAddress,1
are,are,s,ReportingStates,0
Fish,fish,s,SenseObject,0
of,of,s,,0
Prey,prey,c,SenseObject,0
",",",",n,,0
And,and,s,,0
feed,feed,s,SenseObject,0
like,like,s,SubjectivePercept,0
Sharks,sharks,c,SenseObject,0
",",",",s,,0
upon,upon,s,,0
an,an,s,SenseObject,0
Infant,infant,s,SenseObject,1
Play,play,c,ReportingEvents,0
.,.,n,,0
Be,be,s,ReportingStates,0
every,every,s,Generalization,0
Monster,monster,s,Negativity,0
of,of,s,,0
the,the,s,SpaceRelation,0
Deep,deep,s,SpaceRelation,1
away,away,c,,0
;,;,n,,0
Let,let,s,DirectAddress,0
Us,us,s,DirectAddress,1
have,have,s,ReportingEvents,0
a,a,s,ReportingEvents,1
fair,fair,s,StandardsPos,0
Trial,trial,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
a,a,s,,0
clear,clear,s,,0
Sea,sea,c,SenseObject,0
.,.,n,Imperative,0
Let,let,s,Imperative,1
Nature,nature,s,AbstractConcepts,0
work,work,c,GenericEvents,0
",",",",s,,0
and,and,s,,0
do,do,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
Damn,damn,s,Anger,0
to,to,s,,0
soon,soon,c,TimeShift,0
",",",",n,TimeShift,1
For,for,s,Biographical_Time,0
Life,life,s,Biographical_Time,1
will,will,s,PredictedFuture,0
struggle,struggle,s,Resistance,0
long,long,c,SenseProperty,0
",",",",s,,0
',',c,,0
ere,ere,s,ProjectBack,0
it,it,s,,0
sink,sink,s,Motions,0
down,down,c,Motions,1
:,:,n,,0
Let,let,s,ReportingEvents,0
it,it,s,,0
at,at,s,SubjectivePercept,0
least,least,s,SubjectivePercept,1
rise,rise,s,Motions,0
