TEll,tell,s,Citations,0
me,me,s,Citations,1
Cimena,cimena,s,UNRECOGNIZED,0
and,and,s,,0
deal,deal,s,,0
truly,truly,s,Intensity,0
with,with,s,,0
me,me,c,FirstPer,0
",",",",n,,0
What,what,s,,0
makes,makes,s,DirectAddress,0
you,you,s,DirectAddress,1
thus,thus,s,ReasonForward,0
disdain,disdain,s,Negative_Relation,0
to,to,s,GenericEvents,0
be,be,s,GenericEvents,1
a,a,s,,0
Queen,queen,c,PersonProperty,0
",",",",n,ReportingStates,0
Are,are,s,ReportingStates,1
the,the,s,ReportingStates,2
allurements,allurements,s,Positivity,0
of,of,s,,0
a,a,s,,0
Kingdom,kingdom,s,CommonAuthorities,0
such,such,n,Specifiers,0
As,as,s,Specifiers,1
they,they,s,Contingency,0
can,can,s,Contingency,1
hardly,hardly,s,SubjectivePercept,0
touch,touch,c,SubjectivePercept,1
",",",",s,,0
less,less,s,Comparison,0
charm,charm,s,Positivity,0
your,your,s,DirectAddress,0
heart,heart,c,SenseObject,0
?,?,n,Question,0
No,no,c,OralCues,0
",",",",s,OralCues,1
I,i,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
nere,nere,s,UNRECOGNIZED,0
believe,believe,s,PrivateThinking,0
it,it,c,,0
",",",",s,Resistance,0
but,but,s,Resistance,1
must,must,s,Insist,0
wonder,wonder,n,Curiosity,0
At,at,s,SpaceRelation,0
your,your,s,SpaceRelation,1
refusal,refusal,c,Resistance,0
:,:,s,DirectAddress,0
do,do,s,DirectAddress,1
you,you,s,DirectAddress,2
think,think,s,PrivateThinking,0
your,your,s,DirectAddress,0
Cid,cid,n,OralCues,0
With,with,s,Generalization,0
all,all,s,Generalization,1
his,his,s,PersonPronoun,0
fortune,fortune,c,ProjectAhead,0
",",",",s,,0
and,and,s,,0
the,the,s,Positivity,0
best,best,s,Positivity,1
effects,effects,n,Consequence,0
Of,of,s,Consequence,1
his,his,s,PersonPronoun,0
great,great,s,Intensity,0
valor,valor,c,StandardsPos,0
",",",",s,,0
can,can,s,Contingency,0
at,at,s,Uncertainty,0
any,any,s,Uncertainty,1
time,time,n,Uncertainty,2
Impale,impale,s,Negativity,0
this,this,s,,0
fair,fair,s,StandardsPos,0
head,head,s,SenseObject,0
with,with,s,Specifiers,0
a,a,s,Specifiers,1
Diadem,diadem,c,SenseObject,0
?,?,n,Question,0
That,that,s,,0
from,from,s,,0
the,the,s,SenseObject,0
King,king,s,SenseObject,1
alone,alone,s,SpaceRelation,0
you,you,s,DirectAddress,0
must,must,s,DirectAddress,1
expect,expect,n,DirectAddress,2
Cid,cid,s,OralCues,0
is,is,s,Comparison,0
as,as,s,Comparison,1
much,much,s,Comparison,2
a,a,s,Comparison,3
subject,subject,s,LangRef,0
as,as,s,,0
thy,thy,s,DirectAddress,0
self,self,c,SubjectivePercept,0
",",",",n,,0
And,and,s,,0
though,though,s,Concessive,0
he,he,s,PersonPronoun,0
lift,lift,s,ReportingEvents,0
thy,thy,s,DirectAddress,0
fortune,fortune,s,ProjectAhead,0
to,to,s,,0
a,a,s,SenseProperty,0
height,height,n,SenseProperty,1
As,as,s,,0
great,great,s,Intensity,0
as,as,s,Comparison,0
any,any,s,Comparison,1
subjects,subjects,c,LangRef,0
",",",",s,Resistance,0
yet,yet,s,Resistance,1
a,a,s,,0
thousand,thousand,n,Numbers,0
Will,will,s,PredictedFuture,0
side,side,s,SubjectivePercept,0
with,with,s,SubjectivePercept,1
thee,thee,c,DirectAddress,0
",",",",s,,0
when,when,s,Curiosity,0
this,this,s,Curiosity,1
my,my,s,FirstPer,0
brother,brother,s,PersonProperty,0
offers,offers,n,ReportingEvents,0
Will,will,s,PredictedFuture,0
set,set,s,ReportingEvents,0
thy,thy,s,DirectAddress,0
beauties,beauties,s,StandardsPos,0
in,in,s,,0
a,a,s,,0
point,point,s,ReasonForward,0
to,to,s,ReasonForward,1
strike,strike,n,Negativity,0
The,the,s,,0
gazers,gazers,s,SpaceRelation,0
eyes,eyes,s,SenseObject,0
with,with,s,,0
envy,envy,c,Negative_Relation,0
",",",",s,,0
or,or,s,,0
amazement,amazement,c,Intensity,0
.,.,nn,,0
Madam,madam,c,PersonProperty,0
",",",",s,,0
it,it,s,ConfirmedThght,0
is,is,s,ConfirmedThght,1
true,true,s,ConfirmedThght,2
so,so,s,Positivity,0
great,great,s,Positivity,1
a,a,s,,0
Princes,princes,s,PersonProperty,0
love,love,n,Positivity,0
Might,might,s,Contingency,0
take,take,s,ReportingEvents,0
another,another,c,Specifiers,0
",",",",s,Concessive,0
though,though,s,Concessive,1
it,it,s,DenyDisclaim,0
cannot,cannot,s,DenyDisclaim,1
me,me,c,FirstPer,0
",",",",n,,0
And,and,s,,0
the,the,s,,0
false,false,s,StandardsNeg,0
luster,luster,s,SenseProperty,0
of,of,s,,0
a,a,s,CommonAuthorities,0
Sovereign,sovereign,s,CommonAuthorities,1
greatness,greatness,n,StandardsPos,0
May,may,s,Contingency,0
dazell,dazell,s,UNRECOGNIZED,0
any,any,s,,0
fond,fond,s,Positivity,0
young,young,s,SenseProperty,0
Virgins,virgins,s,PersonProperty,0
eyes,eyes,c,SenseObject,0
",",",",n,Resistance,0
But,but,s,Resistance,1
for,for,s,SelfDisclosure,0
my,my,s,SelfDisclosure,1
own,own,s,SelfDisclosure,2
direction,direction,s,AbstractConcepts,0
i,i,s,FirstPer,0
will,will,s,PredictedFuture,0
take,take,s,Comparison,0
less,less,n,Comparison,1
Of,of,s,,0
their,their,s,PersonPronoun,0
ambition,ambition,c,ProjectAhead,0
",",",",s,,0
more,more,s,Comparison,0
of,of,s,,0
modesty,modesty,c,SubjectivePercept,0
",",",",n,,0
And,and,s,,0
truly,truly,s,Intensity,0
Madam,madam,c,PersonProperty,0
",",",",s,,0
I,i,s,Insist,0
shall,shall,s,Insist,1
never,never,s,Insist,2
envy,envy,n,Negative_Relation,0
Her,her,s,PersonPronoun,0
who,who,s,,0
enjoyes,enjoyes,s,UNRECOGNIZED,0
the,the,s,,0
happiness,happiness,s,Positivity,0
you,you,s,DirectAddress,0
offer,offer,c,ReportingEvents,0
",",",",n,,0
The,the,s,,0
pomp,pomp,s,SenseProperty,0
of,of,s,,0
Thrones,thrones,s,SenseObject,0
seems,seems,s,Uncertainty,0
troublesome,troublesome,s,Negativity,0
to,to,s,SelfDisclosure,0
me,me,c,SelfDisclosure,1
",",",",n,SelfDisclosure,2
My,my,s,SelfDisclosure,0
desires,desires,s,SelfDisclosure,1
draw,draw,s,Motions,0
themselves,themselves,s,PersonPronoun,0
within,within,s,,0
their,their,s,PersonPronoun,0
compass,compass,c,SenseObject,0
",",",",n,,0
And,and,s,,0
look,look,s,ReportingEvents,0
no,no,s,DenyDisclaim,0
higher,higher,s,Comparison,0
then,then,s,,0
their,their,s,PersonPronoun,0
proper,proper,s,StandardsPos,0
reach,reach,c,AbstractConcepts,0
:,:,n,,0
Equality,equality,s,StandardsPos,0
does,does,s,Intensity,0
make,make,s,Intensity,1
the,the,s,StandardsPos,0
perfect,perfect,s,StandardsPos,1
match,match,c,SenseObject,0
",",",",n,,0
Unequal,unequal,s,Comparison,0
persons,persons,s,PersonProperty,0
render,render,s,ReportingEvents,0
the,the,s,ReportingEvents,1
link,link,s,AbstractConcepts,0
so,so,s,,0
weak,weak,n,Negativity,0
That,that,s,,0
love,love,s,Positivity,0
can,can,s,Contingency,0
hardly,hardly,s,DenyDisclaim,0
make,make,s,ReportingEvents,0
it,it,s,ReportingEvents,1
hold,hold,s,TimeDuration,0
together,together,c,TimeDuration,1
.,.,nn,,0
I,i,s,FirstPer,0
know,know,s,Confidence,0
Cimena,cimena,s,UNRECOGNIZED,0
thy,thy,s,DirectAddress,0
great,great,s,Intensity,0
modesty,modesty,c,SubjectivePercept,0
",",",",n,Resistance,0
But,but,s,Resistance,1
let,let,s,ReportingEvents,0
it,it,s,,0
not,not,s,DenyDisclaim,0
divert,divert,s,ReportingEvents,0
thee,thee,s,DirectAddress,0
from,from,s,,0
a,a,s,Positivity,0
good,good,n,Positivity,1
Sent,sent,s,ReportingEvents,0
from,from,s,,0
the,the,s,SenseObject,0
hand,hand,s,SenseObject,1
of,of,s,SenseObject,2
Heaven,heaven,c,Positivity,0
",",",",s,,0
and,and,s,,0
a,a,s,SenseObject,0
King,king,c,SenseObject,1
.,.,n,,0
That,that,s,,0
power,power,c,AbstractConcepts,0
",",",",s,Aside,0
which,which,s,Aside,1
gave,gave,s,ReportingEvents,0
thee,thee,s,DirectAddress,0
such,such,s,Intensity,0
rare,rare,s,Exceptions,0
parts,parts,c,AbstractConcepts,0
",",",",s,,0
would,would,s,Biographical_Time,0
never,never,n,Biographical_Time,1
They,they,s,Insist,0
should,should,s,Insist,1
be,be,s,ReportingStates,0
straightened,straightened,s,Transformation,0
in,in,s,,0
a,a,s,,0
narrow,narrow,s,SenseProperty,0
fortune,fortune,n,ProjectAhead,0
It,it,s,,0
knows,knows,s,Confidence,0
this,this,s,,0
fore,fore,s,Sequence,0
head's,head's,s,UNRECOGNIZED,0
destined,destined,s,ProjectAhead,0
for,for,s,,0
a,a,s,SenseObject,0
Crown,crown,n,SenseObject,1
Which,which,s,,0
to,to,s,ProjectAhead,0
confirm,confirm,c,ProjectAhead,1
",",",",s,,0
it,it,s,,0
makes,makes,s,ReportingEvents,0
a,a,s,CommonAuthorities,0
Monarch,monarch,s,CommonAuthorities,1
know,know,n,Confidence,0
That,that,s,Confidence,1
naught,naught,s,Negativity,0
less,less,s,Comparison,0
then,then,s,,0
himself,himself,s,PersonPronoun,0
can,can,s,Contingency,0
suite,suite,s,SenseObject,0
thy,thy,s,DirectAddress,0
merit,merit,n,StandardsPos,0
Though,though,s,Concessive,0
Cid,cid,s,OralCues,0
have,have,s,,0
heretofore,heretofore,s,ProjectBack,0
made,made,s,ReportingEvents,0
thee,thee,s,DirectAddress,0
his,his,s,PersonPronoun,0
Idol,idol,c,Positivity,0
.,.,n,Imperative,0
Do,do,s,Imperative,1
think,think,s,Imperative,2
his,his,s,PersonPronoun,0
love's,love's,s,AbstractConcepts,0
not,not,s,DenyDisclaim,0
subject,subject,s,LangRef,0
unto,unto,s,CommonAuthorities,0
change,change,n,Transformation,0
And,and,s,,0
that,that,s,,0
he,he,s,Insist,0
must,must,s,Insist,1
continue,continue,s,Updates,0
in,in,s,Specifiers,0
his,his,s,Specifiers,1
absence,absence,n,Negativity,0
As,as,s,,0
a,a,s,Intensity,0
great,great,s,Intensity,1
soldier,soldier,c,PersonProperty,0
",",",",s,ReasonForward,0
so,so,s,ReasonForward,1
a,a,s,ReasonForward,2
faithful,faithful,s,StandardsPos,0
lover,lover,c,Positivity,0
*,*,n,,0
Perhaps,perhaps,s,Uncertainty,0
thy,thy,s,DirectAddress,0
love,love,s,Positivity,0
may,may,s,Contingency,0
trouble,trouble,s,Negativity,0
him,him,s,Negativity,1
at,at,s,Immediacy,0
present,present,c,Immediacy,1
",",",",n,,0
Whilst,whilst,s,TimeDuration,0
his,his,s,PersonPronoun,0
ambition,ambition,s,ProjectAhead,0
grows,grows,s,RecurringEvents,0
up,up,s,RecurringEvents,1
with,with,s,RecurringEvents,2
his,his,s,PersonPronoun,0
fortune,fortune,c,ProjectAhead,0
*,*,n,,0
If,if,s,Contingency,0
ere,ere,s,ProjectBack,0
he,he,s,PersonPronoun,0
gained,gained,s,Narrative_Verbs,0
his,his,s,Narrative_Verbs,1
glorious,glorious,s,Positivity,0
name,name,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
Cid,cid,c,OralCues,0
",",",",n,,0
He,he,s,PrivateThinking,0
thought,thought,s,PrivateThinking,1
himself,himself,s,PersonPronoun,0
already,already,s,Updates,0
worthy,worthy,s,StandardsPos,0
thee,thee,c,DirectAddress,0
",",",",n,,0
Do,do,s,Intensity,0
think,think,s,PrivateThinking,0
his,his,s,PrivateThinking,1
heart,heart,s,SenseObject,0
will,will,s,PredictedFuture,0
stay,stay,s,ReportingEvents,0
in,in,s,ReportingEvents,1
the,the,s,ReportingEvents,2
same,same,s,Comparison,0
bounds,bounds,c,Motions,0
",",",",n,,0
Now,now,s,Updates,0
that,that,s,Updates,1
all,all,s,,0
Spain,spain,c,,0
",",",",s,,0
and,and,s,,0
other,other,s,Specifiers,0
Nations,nations,n,CommonAuthorities,0
Admire,admire,s,StandardsPos,0
and,and,s,,0
fear,fear,s,Fear,0
his,his,s,PersonPronoun,0
valor,valor,c,StandardsPos,0
?,?,s,Question,0
ah,ah,s,OralCues,0
Cimena,cimena,n,UNRECOGNIZED,0
Some,some,s,Uncertainty,0
thing,thing,s,Uncertainty,0
persuades,persuades,s,ReportingEvents,0
me,me,s,FirstPer,0
that,that,s,,0
his,his,s,PersonPronoun,0
hopes,hopes,s,Positivity,0
fly,fly,s,Motions,0
higher,higher,c,Comparison,0
",",",",n,,0
A,a,s,SenseObject,0
throne,throne,s,SenseObject,1
will,will,s,PredictedFuture,0
be,be,s,PredictedFuture,1
the,the,s,PredictedFuture,2
certain,certain,s,Confidence,0
