FOrsaken,forsaken,s,Negativity,0
Dames,dames,s,SenseObject,0
with,with,s,,0
less,less,s,Comparison,0
concern,concern,s,SubjectivePercept,0
reflect,reflect,n,PrivateThinking,0
On,on,s,PrivateThinking,1
their,their,s,PersonPronoun,0
inconstant,inconstant,s,StandardsNeg,0
Hero's,hero's,s,PersonProperty,0
cold,cold,s,SenseProperty,0
neglects,neglects,c,Negativity,0
",",",",n,,0
Than,than,s,Comparison,0
we,we,s,,0
(,(,c,,0
provoked,provoked,s,ReportingEvents,0
by,by,s,,0
this,this,s,,0
Ungrateful,ungrateful,s,Negative_Relation,0
Age,age,c,Specifiers,0
",",",",c,,0
),),n,,0
Bear,bear,s,SenseObject,0
the,the,s,,0
hard,hard,s,,0
Fate,fate,s,SubjectivePercept,0
of,of,s,Inclusive,0
our,our,s,Inclusive,1
abandoned,abandoned,s,Negativity,0
Stage,stage,c,SenseObject,0
;,;,n,,0
With,with,s,Sad,0
grief,grief,s,Sad,1
we,we,s,,0
see,see,s,DirectAddress,0
you,you,s,DirectAddress,1
ravished,ravished,s,Intensity,0
from,from,s,,0
our,our,s,Inclusive,0
Arms,arms,c,SenseObject,0
",",",",n,,0
And,and,s,,0
Curse,curse,s,Negativity,0
the,the,s,Negativity,1
Feeble,feeble,s,Negativity,0
Virtue,virtue,s,StandardsPos,0
of,of,s,Inclusive,0
our,our,s,Inclusive,1
Charms,charms,c,Positivity,0
:,:,n,,0
Curse,curse,s,Negativity,0
your,your,s,DirectAddress,0
false,false,s,StandardsNeg,0
hearts,hearts,c,SenseObject,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
none,none,s,Exceptions,0
so,so,s,Exceptions,1
false,false,s,StandardsNeg,0
as,as,s,TimeDuration,0
they,they,c,TimeDuration,1
",",",",n,,0
And,and,s,,0
curse,curse,s,Negativity,0
the,the,s,Negativity,1
Eyes,eyes,s,SenseObject,0
that,that,s,,0
stole,stole,s,ReportingEvents,0
those,those,s,,0
hearts,hearts,s,SenseObject,0
away,away,c,,0
.,.,n,Imperative,0
Remember,remember,s,Imperative,1
Faithless,faithless,s,StandardsNeg,0
Friends,friends,s,StandardsPos,0
there,there,s,ProjectBack,0
was,was,s,ProjectBack,1
a,a,s,ProjectBack,2
time,time,c,ProjectBack,3
",",",",n,,0
(,(,c,,0
But,but,s,Resistance,0
oh,oh,s,OralCues,0
the,the,s,Sad,0
sad,sad,s,Sad,1
remembrance,remembrance,s,PrivateThinking,0
of,of,s,Inclusive,0
our,our,s,Inclusive,1
Prime,prime,c,AbstractConcepts,0
!,!,c,,0
),),n,,0
When,when,s,Curiosity,0
to,to,s,Curiosity,1
our,our,s,Inclusive,0
Arms,arms,s,SenseObject,0
with,with,s,,0
eager,eager,s,Positivity,0
Ioys,ioys,s,UNRECOGNIZED,0
ye,ye,s,OralCues,0
flew,flew,c,ReportingStates,0
",",",",n,ReportingStates,1
And,and,s,,0
we,we,s,,0
believed,believed,s,PrivateThinking,0
your,your,s,DirectAddress,0
treacherous,treacherous,s,Anger,0
Hearts,hearts,s,SenseObject,0
as,as,s,,0
true,true,n,Resemblances,0
As,as,s,Resemblances,1
e're,e're,s,SubjectivePercept,0
was,was,s,ProjectBack,0
Nymph,nymph,s,SenseObject,0
of,of,s,,0
ours,ours,s,Inclusive,0
to,to,s,,0
one,one,s,DirectAddress,0
of,of,s,DirectAddress,1
you,you,c,DirectAddress,2
:,:,n,,0
But,but,s,Resistance,0
a,a,s,Comparison,0
more,more,s,Comparison,1
powerful,powerful,n,Positivity,0
Fraught,fraught,s,Negativity,0
with,with,s,Negativity,1
sweet,sweet,s,SenseProperty,0
sins,sins,s,StandardsNeg,0
and,and,s,,0
absolutions,absolutions,s,StandardsPos,0
too,too,c,,0
:,:,n,,0
To,to,s,PersonPronoun,0
her,her,s,PersonPronoun,1
are,are,s,SubjectivePercept,0
all,all,s,SubjectivePercept,1
your,your,s,DirectAddress,0
pious,pious,s,StandardsPos,0
Vows,vows,s,Intensity,0
addressed,addressed,c,ReportingStates,0
",",",",n,ReportingStates,1
She,she,s,Updates,0
Is,is,s,Updates,1
both,both,s,,0
your,your,s,DirectAddress,0
Loves,loves,c,Positivity,0
",",",",s,,0
and,and,s,,0
your,your,s,DirectAddress,0
Religion's,religion's,s,UNRECOGNIZED,0
Test,test,c,AbstractConcepts,0
",",",",n,,0
The,the,s,,0
fairest,fairest,s,Comparison,0
Prelate,prelate,s,PersonProperty,0
of,of,s,Biographical_Time,0
her,her,s,Biographical_Time,1
time,time,s,Biographical_Time,2
and,and,s,,0
best,best,c,Comparison,0
.,.,n,,0
We,we,s,,0
own,own,s,ReportingEvents,0
her,her,s,PersonPronoun,0
more,more,s,Comparison,0
deserving,deserving,s,StandardsPos,0
far,far,s,SpaceRelation,0
then,then,s,Sequence,0
we,we,c,Sequence,1
",",",",n,,0
A,a,s,StandardsPos,0
just,just,s,StandardsPos,1
excuse,excuse,s,Negativity,0
for,for,s,Negativity,1
your,your,s,DirectAddress,0
inconstancy,inconstancy,c,StandardsNeg,0
.,.,n,Resistance,0
Yet,yet,s,Resistance,1
',',c,,0
twas,twas,s,ProjectBack,0
unkindly,unkindly,s,Negative_Relation,0
done,done,s,ReportingStates,0
to,to,s,,0
leave,leave,s,,0
us,us,s,Inclusive,0
so,so,c,,0
:,:,n,,0
First,first,s,Innovations,0
to,to,s,Innovations,1
betray,betray,s,Negative_Relation,0
with,with,s,Positivity,0
Love,love,c,Positivity,1
",",",",s,,0
and,and,s,Sequence,0
then,then,s,Sequence,1
undo,undo,c,Transformation,0
",",",",n,,0
A,a,s,,0
horrid,horrid,s,Negativity,0
Crime,crime,s,StandardsNeg,0
you,you,s,DirectAddress,0
are,are,s,DirectAddress,1
all,all,s,DirectAddress,2
addicted,addicted,s,Negativity,0
to,to,c,Negativity,1
.,.,n,,0
Too,too,s,Negativity,0
soon,soon,c,Negativity,1
",",",",s,,0
alas,alas,c,Negativity,0
",",",",s,,0
your,your,s,DirectAddress,0
Appetites,appetites,s,SubjectivePercept,0
are,are,s,ReportingStates,0
cloyed,cloyed,c,Negative_Relation,0
",",",",n,,0
And,and,s,,0
Phillis,phillis,s,UNRECOGNIZED,0
rules,rules,s,CommonAuthorities,0
no,no,s,DenyDisclaim,0
more,more,c,DenyDisclaim,1
",",",",s,DenyDisclaim,2
when,when,s,,0
once,once,s,TimeShift,0
enjoyed,enjoyed,c,Positivity,0
:,:,n,,0
But,but,s,Resistance,0
all,all,s,,0
rash,rash,s,Negativity,0
Oaths,oaths,s,CommonAuthorities,0
of,of,s,StandardsPos,0
Love,love,s,StandardsPos,1
and,and,s,,0
constancy,constancy,c,StandardsPos,0
",",",",n,,0
With,with,s,Specifiers,0
the,the,s,Specifiers,1
too,too,s,Negativity,0
short,short,s,Negativity,1
forgotten,forgotten,s,Negativity,0
Pleasures,pleasures,s,Positivity,0
dye,dye,c,SenseObject,0
",",",",n,,0
Whilst,whilst,s,TimeDuration,0
she,she,c,PersonPronoun,0
",",",",s,,0
poor,poor,s,Negativity,0
Soul,soul,c,Disclosure,0
",",",",s,,0
robbed,robbed,s,Negative_Relation,0
of,of,s,Negative_Relation,1
her,her,s,PersonPronoun,0
dearest,dearest,s,Positivity,0
ease,ease,c,Reassure,0
",",",",n,,0
Still,still,s,Updates,0
drudges,drudges,s,Negativity,0
on,on,c,,0
",",",",s,,0
with,with,s,,0
vain,vain,s,Negativity,0
desire,desire,s,Positivity,0
to,to,s,Positivity,1
please,please,c,Positivity,0
;,;,n,,0
And,and,s,,0
restless,restless,s,Negativity,0
follows,follows,s,,0
you,you,s,DirectAddress,0
from,from,s,SceneShift,0
place,place,s,SceneShift,1
to,to,s,SceneShift,2
place,place,c,SceneShift,3
",",",",n,ReasonForward,0
For,for,s,ReasonForward,1
Tributes,tributes,s,StandardsPos,0
due,due,s,ReasonBackward,0
to,to,s,ReasonBackward,1
her,her,s,PersonPronoun,0
Autumnal,autumnal,s,RecurringEvents,0
Face,face,c,SenseObject,0
:,:,n,,0
Deserted,deserted,s,StandardsNeg,0
thus,thus,s,ReasonForward,0
by,by,s,,0
such,such,s,Intensity,0
ungrateful,ungrateful,s,Negative_Relation,0
men,men,c,PersonProperty,0
",",",",n,,0
How,how,s,Curiosity,0
can,can,s,Curiosity,1
we,we,s,DirectAddress,0
hope,hope,s,DirectAddress,1
you,you,s,DirectAddress,2
will,will,s,PredictedFuture,0
e're,e're,s,SubjectivePercept,0
return,return,s,RecurringEvents,0
again,again,c,RecurringEvents,0
?,?,n,Question,0
Here,here,s,Immediacy,0
Is,is,s,Immediacy,1
no,no,s,DenyDisclaim,0
new,new,s,,0
Charm,charm,s,Positivity,0
to,to,s,,0
tempt,tempt,s,SubjectivePercept,0
ye,ye,s,OralCues,0
as,as,s,ProjectBack,0
before,before,c,ProjectBack,1
",",",",n,,0
Wit,wit,s,StandardsPos,0
now,now,s,Updates,0
