Among,among,s,,0
all,all,s,Generalization,0
the,the,s,Generalization,1
youthful,youthful,s,StandardsPos,0
lovers,lovers,s,Positivity,0
which,which,s,,0
adore,adore,n,Positivity,0
Your,your,s,DirectAddress,0
daughters,daughters,s,PersonProperty,0
beauty,beauty,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
implore,implore,s,SubjectivePercept,0
my,my,s,FirstPer,0
aid,aid,c,Positivity,0
",",",",n,,0
Don,don,s,PersonProperty,0
Roderigo,roderigo,s,UNRECOGNIZED,0
and,and,s,,0
Don,don,s,PersonProperty,0
Sancho,sancho,s,UNRECOGNIZED,0
strive,strive,n,ProjectAhead,0
Who,who,s,,0
shall,shall,s,ProjectAhead,0
show,show,s,ReportingEvents,0
most,most,s,Comparison,0
the,the,s,SenseObject,0
fire,fire,s,SenseObject,1
her,her,s,PersonPronoun,0
beauties,beauties,s,StandardsPos,0
raised,raised,c,ReportingStates,0
.,.,n,ReportingStates,1
But,but,s,Resistance,0
yet,yet,s,Resistance,0
Cimena,cimena,s,UNRECOGNIZED,0
is,is,s,ReportingStates,0
indifferent,indifferent,n,StandardsNeg,0
To,to,s,,0
both,both,s,,0
their,their,s,PersonPronoun,0
loves,loves,c,Positivity,0
",",",",s,,0
and,and,s,,0
with,with,s,Specifiers,0
an,an,s,Specifiers,1
equal,equal,s,Comparison,0
eye,eye,n,SenseObject,0
Beholds,beholds,s,SpaceRelation,0
them,them,s,,0
both,both,c,,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
does,does,s,Question,0
she,she,s,Question,1
take,take,s,ReportingEvents,0
away,away,n,ReportingEvents,1
Or,or,s,,0
add,add,s,ReportingEvents,0
ought,ought,s,Insist,0
to,to,s,Insist,1
their,their,s,PersonPronoun,0
hopes,hopes,c,Positivity,0
",",",",s,Resistance,0
but,but,s,Resistance,1
still,still,s,Updates,0
expects,expects,n,ProjectAhead,0
A,a,s,PersonProperty,0
husband,husband,s,PersonProperty,1
from,from,s,DirectAddress,0
your,your,s,DirectAddress,1
choice,choice,s,SubjectivePercept,0
alone,alone,s,SpaceRelation,0
designed,designed,c,ReportingStates,0
.,.,nn,ReportingStates,1
She,she,s,PersonPronoun,0
does,does,s,StandardsPos,0
her,her,s,StandardsPos,1
duty,duty,c,StandardsPos,2
",",",",s,,0
both,both,s,,0
of,of,s,,0
them,them,s,,0
deserve,deserve,s,CommonAuthorities,0
her,her,c,CommonAuthorities,1
",",",",n,,0
Both,both,s,,0
sprung,sprung,s,ReportingEvents,0
from,from,s,ReportingEvents,1
brave,brave,s,StandardsPos,0
and,and,s,,0
noble,noble,s,StandardsPos,0
families,families,c,AbstractConcepts,0
",",",",n,,0
Both,both,s,,0
young,young,c,SenseProperty,0
",",",",s,Resistance,0
yet,yet,s,Resistance,1
such,such,s,Specifiers,0
as,as,s,Specifiers,1
in,in,s,Specifiers,0
their,their,s,Specifiers,1
faces,faces,s,SenseObject,0
show,show,n,ReportingEvents,0
The,the,s,,0
illustrious,illustrious,s,StandardsPos,0
virtue,virtue,s,StandardsPos,0
of,of,s,,0
their,their,s,ProjectBack,0
Ancestors,ancestors,c,ProjectBack,1
",",",",n,Resistance,0
But,but,s,Resistance,1
above,above,s,Intensity,0
all,all,c,Intensity,1
",",",",s,,0
in,in,s,,0
Roderigo's,roderigo's,s,UNRECOGNIZED,0
face,face,n,SenseObject,0
There,there,s,DenyDisclaim,0
Is,is,s,DenyDisclaim,1
not,not,s,DenyDisclaim,2
a,a,s,DenyDisclaim,3
line,line,s,SpaceRelation,0
which,which,s,,0
speaks,speaks,s,,0
not,not,s,DenyDisclaim,0
a,a,s,DenyDisclaim,1
brave,brave,s,StandardsPos,0
man,man,c,PersonProperty,0
;,;,n,,0
His,his,s,PersonPronoun,0
family,family,s,,0
has,has,s,ProjectBack,0
been,been,s,ProjectBack,1
fruitful,fruitful,s,Positivity,0
still,still,s,Updates,0
in,in,s,Updates,1
soldiers,soldiers,c,PersonProperty,0
",",",",n,,0
As,as,s,Resemblances,0
if,if,s,Resemblances,1
they,they,s,ProjectBack,0
had,had,s,ProjectBack,1
