JO,jo,s,PersonProperty,0
Haynes's,haynes's,s,UNRECOGNIZED,0
Fate,fate,s,SubjectivePercept,0
is,is,s,Immediacy,0
now,now,s,Immediacy,1
become,become,s,Transformation,0
my,my,s,FirstPer,0
Share,share,c,ReportingEvents,0
",",",",n,ReasonForward,0
For,for,s,ReasonForward,1
I,i,s,ReasonForward,2
Am,am,s,FirstPer,0
a,a,s,,0
Poet,poet,c,PersonProperty,0
",",",",s,,0
Married,married,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
a,a,s,,0
Player,player,c,PersonProperty,0
:,:,n,,0
The,the,s,Intensity,0
greatest,greatest,s,Intensity,1
of,of,s,,0
these,these,s,Immediacy,0
Curses,curses,s,Negativity,0
is,is,s,Sequence,0
the,the,s,Sequence,1
First,first,c,Sequence,2
;,;,n,,0
As,as,s,Specifiers,0
for,for,s,Specifiers,1
the,the,s,Specifiers,2
latter,latter,s,AbstractConcepts,0
Two,two,c,Numbers,0
",",",",s,,0
I,i,s,FirstPer,0
know,know,s,Confidence,0
the,the,s,Confidence,1
worst,worst,c,Negativity,0
;,;,n,Resistance,0
But,but,s,Resistance,1
how,how,s,Resistance,2
you,you,s,DirectAddress,0
mean,mean,s,ProjectAhead,0
to,to,s,ProjectAhead,1
deal,deal,s,ReportingEvents,0
with,with,s,ReportingEvents,1
me,me,s,FirstPer,0
to,to,s,,0
Day,day,c,TimeDuration,0
",",",",n,,0
Or,or,s,,0
how,how,s,DirectAddress,0
you,you,s,DirectAddress,1
will,will,s,DirectAddress,2
Massacre,massacre,s,Negativity,0
my,my,s,FirstPer,0
harmless,harmless,s,SubjectivePercept,0
Play,play,c,ReportingEvents,0
",",",",n,,0
I,i,s,Insist,0
must,must,s,Insist,1
confess,confess,s,Insist,2
distracts,distracts,s,Negativity,0
me,me,s,FirstPer,0
every,every,s,Generalization,0
Way,way,c,AbstractConcepts,0
:,:,n,,0
For,for,s,,0
I,i,s,SelfDisclosure,0
Have,have,s,SelfDisclosure,1
not,not,s,Metadiscourse,0
only,only,s,Metadiscourse,1
Critics,critics,s,PersonProperty,0
in,in,s,,0
the,the,s,SenseObject,0
Pit,pit,c,SenseObject,1
.,.,n,Resistance,0
But,but,s,Resistance,1
even,even,s,Intensity,0
in,in,s,Intensity,1
the,the,s,Intensity,2
upper,upper,s,SpaceRelation,0
Gallery,gallery,s,SpaceRelation,0
they,they,s,,0
sit,sit,c,SenseProperty,0
",",",",n,,0
Knaves,knaves,s,Negativity,0
that,that,s,PredictedFuture,0
will,will,s,PredictedFuture,1
run,run,s,Negativity,0
down,down,s,Negativity,1
Mr,mr,c,PersonProperty,0
.,.,s,PersonProperty,1
Mountforts's,mountforts's,s,UNRECOGNIZED,0
Wit,wit,c,StandardsPos,0
;,;,n,,0
Pm,pm,s,,0
the,the,s,,0
unlucky'st,unlucky'st,s,UNRECOGNIZED,0
Dog,dog,s,SenseObject,0
that,that,s,,0
ever,ever,s,Biographical_Time,0
Writ,writ,c,CommonAuthorities,0
.,.,n,,0
Some,some,s,Uncertainty,0
Care,care,s,StandardsPos,0
then,then,s,,0
must,must,s,Insist,0
be,be,s,ReportingStates,0
taken,taken,c,ReportingStates,0
",",",",s,ReportingStates,1
that,that,s,Uncertainty,0
may,may,s,Uncertainty,1
save,save,n,StandardsPos,0
This,this,s,,0
Dear,dear,c,Positivity,0
",",",",s,,0
my,my,s,Autobio,0
First,first,s,Autobio,1
Begotten,begotten,c,Transformation,0
",",",",s,,0
from,from,s,,0
the,the,s,SenseObject,0
Grave,grave,c,SenseObject,1
:,:,n,,0
Some,some,s,Uncertainty,0
Friends,friends,s,StandardsPos,0
Advise,advise,c,ReportingEvents,0
",",",",s,,0
like,like,s,SubjectivePercept,0
Brother,brother,s,PersonProperty,0
Ben,ben,s,PersonProperty,0
declare,declare,c,Citations,0
",",",",n,,0
By,by,s,,0
God,god,s,CommonAuthorities,0
it,it,s,,0
is,is,s,Positivity,0
Good,good,c,Positivity,1
",",",",s,,0
deny't,deny't,s,UNRECOGNIZED,0
the,the,s,,0
Slave,slave,s,PersonProperty,0
that,that,s,,0
dare,dare,c,SubjectivePercept,0
.,.,n,,0
Were,were,s,Contingency,0
I,i,s,Contingency,1
but,but,s,Resistance,0
sure,sure,s,Confidence,0
',',c,,0
twould,twould,s,UNRECOGNIZED,0
Take,take,c,ReportingEvents,0
",",",",s,,0
I,i,s,SelfDisclosure,0
Would,would,s,SelfDisclosure,1
do,do,s,StandardsPos,0
my,my,s,StandardsPos,1
best,best,c,StandardsPos,2
;,;,n,Resistance,0
But,but,s,Resistance,1
to,to,s,GenericEvents,0
be,be,s,GenericEvents,1
kicked,kicked,c,ReportingStates,0
",",",",s,ReportingStates,1
you,you,s,DirectAddress,0
know,know,c,DirectAddress,1
",",",",s,,0
would,would,s,ProjectBack,0
spoil,spoil,s,Negativity,0
the,the,s,Negativity,1
Jest,jest,c,Positivity,0
.,.,n,Resistance,0
However,however,s,Resistance,1
I,i,s,Insist,0
must,must,s,Insist,1
still,still,s,ReportingEvents,0
my,my,s,ReportingEvents,1
Play,play,s,ReportingEvents,0
maintain,maintain,c,TimeDuration,0
",",",",n,,0
Damn,damn,s,Anger,0
it,it,s,,0
who,who,s,Future_Question,0
will,will,c,Future_Question,1
",",",",s,,0
Damn,damn,s,Anger,0
me,me,c,FirstPer,0
",",",",s,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
write,write,s,ReportingEvents,0
again,again,c,RecurringEvents,0
;,;,n,,0
Clap,clap,s,SenseProperty,0
down,down,s,,0
each,each,s,Specifiers,0
Thought,thought,c,PrivateThinking,0
",",",",s,,0
nay,nay,c,OralCues,0
",",",",s,,0
more,more,s,Comparison,0
than,than,s,Comparison,1
I,i,s,Contingency,0
can,can,s,Contingency,1
think,think,c,PrivateThinking,0
",",",",n,,0
Ruin,ruin,s,Negativity,0
my,my,s,FirstPer,0
Family,family,s,,0
in,in,s,,0
Pen,pen,s,SenseObject,0
and,and,s,,0
Ink,ink,c,SenseObject,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
though,though,s,Concessive,0
my,my,s,SelfDisclosure,0
Heart,heart,s,SelfDisclosure,1
should,should,s,Insist,0
burst,burst,s,Motions,0
to,to,s,ProjectAhead,0
see,see,s,ProjectAhead,1
your,your,s,DirectAddress,0
Spite,spite,c,Negative_Relation,0
",",",",n,,0
True,true,s,StandardsPos,0
Talboy,talboy,s,UNRECOGNIZED,0
to,to,s,TimeDuration,0
the,the,s,TimeDuration,1
last,last,s,TimeDuration,2
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
Cry,cry,s,Motions,0
and,and,s,,0
Write,write,c,ReportingEvents,0
",",",",n,,0
That,that,s,Specifiers,0
Is,is,s,Specifiers,1
Certain,certain,c,Confidence,0
.,.,n,,0
Or,or,s,,0
since,since,s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
beset,beset,s,Negativity,0
so,so,s,,0
by,by,s,,0
my,my,s,FirstPer,0
Foes,foes,c,Negative_Relation,0
",",",",n,,0
I,i,s,Insist,0
beg,beg,s,Insist,1
your,your,s,Insist,2
Favors,favors,c,Positivity,0
",",",",s,,0
Friends,friends,c,StandardsPos,0
",",",",s,,0
Brother,brother,s,PersonProperty,0
Beaux,beaux,c,Positivity,0
;,;,n,,0
Join,join,s,Inclusive,0
with,with,s,Inclusive,1
the,the,s,PersonProperty,0
Ladies,ladies,c,PersonProperty,1
",",",",s,,0
to,to,s,,0
whose,whose,s,PersonPronoun,0
Power,power,s,AbstractConcepts,0
I,i,s,FirstPer,0
bow,bow,c,SenseObject,0
",",",",n,SpaceRelation,0
Where,where,s,SpaceRelation,1
I,i,s,FirstPer,0
see,see,s,,0
Gentleness,gentleness,s,Positivity,0
on,on,s,Generalization,0
every,every,s,Generalization,1
Brow,brow,c,SenseObject,0
;,;,n,,0
To,to,s,,0
whose,whose,s,PersonPronoun,0
acuter,acuter,s,Comparison,0
Judgments,judgments,s,PrivateThinking,0
I,i,s,FirstPer,0
submit,submit,c,ReportingEvents,0
",",",",n,,0
O,o,c,LangRef,0
!,!,s,,0
Save,save,s,StandardsPos,0
me,me,s,FirstPer,0
from,from,s,,0
the,the,s,,0
Surlies,surlies,s,UNRECOGNIZED,0
of,of,s,,0
the,the,s,SenseObject,0
Pit,pit,c,SenseObject,1
:,:,n,,0
Those,those,s,,0
Nauseous,nauseous,s,Negativity,0
Wretches,wretches,s,Negativity,0
which,which,s,,0
have,have,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
the,the,s,SenseProperty,0
taste,taste,n,SenseProperty,1
Of,of,s,SenseProperty,2
Wit,wit,s,StandardsPos,0
or,or,s,,0
Gallantry,gallantry,c,StandardsPos,0
",",",",s,,0
if,if,s,Contingency,0
nicely,nicely,s,Positivity,0
dressed,dressed,c,SenseProperty,0
.,.,n,,0
I,i,s,Autobio,0
never,never,s,Autobio,1
writ,writ,s,CommonAuthorities,0
till,till,s,AbstractConcepts,0
Love,love,s,Positivity,0
first,first,s,Sequence,0
touched,touched,s,SenseProperty,0
my,my,s,FirstPer,0
Brain,brain,c,SenseObject,0
",",",",n,,0
And,and,s,,0
surely,surely,s,Confidence,0
Love,love,s,Positivity,0
will,will,s,PredictedFuture,0
now,now,s,Immediacy,0
Loves,loves,s,Positivity,0
Cause,cause,s,Cause,0
Maintain,maintain,c,TimeDuration,0
",",",",n,,0
Besides,besides,s,Specifiers,0
my,my,s,FirstPer,0
Natural,natural,s,AbstractConcepts,0
Love,love,s,Positivity,0
to,to,s,Positivity,1
write,write,s,ReportingEvents,0
again,again,c,RecurringEvents,0
.,.,n,Resistance,0
Yet,yet,s,Resistance,1
as,as,s,DirectAddress,0
you,you,s,DirectAddress,1
Please,please,c,DirectAddress,2
",",",",s,,0
Ruin,ruin,s,Negativity,0
or,or,s,,0
Pity,pity,s,Sad,0
bear,bear,c,SenseObject,0
",",",",n,,0
Sir,sir,s,PersonProperty,0
Courtly,courtly,s,Positivity,0
fears,fears,s,Fear,0
no,no,s,DenyDisclaim,0
Enemy,enemy,s,Negativity,0
so,so,s,,0
Fair,fair,c,StandardsPos,0
:,:,n,,0
Execute,execute,s,ReportingEvents,0
as,as,s,DirectAddress,0
you,you,s,DirectAddress,1
please,please,s,DirectAddress,2
your,your,s,DirectAddress,0
Tyrant-Will,tyrant-will,c,UNRECOGNIZED,0
",",",",n,,0
His,his,s,PersonPronoun,0
Character's,character's,c,UNRECOGNIZED,0
",",",",s,,0
Your,your,s,DirectAddress,0
humble,humble,s,SubjectivePercept,0
Servant,servant,s,PersonProperty,0
still,still,c,Updates,0
.,.,nn,,0
LUcinda,lucinda,s,UNRECOGNIZED,0
Close,close,s,Motions,0
or,or,s,,0
Veil,veil,s,SenseObject,0
your,your,s,DirectAddress,0
Eye,eye,c,SenseObject,0
",",",",n,SpaceRelation,0
Where,where,s,SpaceRelation,1
thousand,thousand,s,Numbers,0
Loves,loves,s,Positivity,0
in,in,s,Negativity,0
Ambush,ambush,s,Negativity,1
lie,lie,c,Motions,0
;,;,n,,0
Where,where,s,,0
Darts,darts,s,Motions,0
are,are,s,ReportingStates,0
Pointed,pointed,s,SpaceRelation,0
with,with,s,SpaceRelation,1
such,such,s,Intensity,0
Skill,skill,c,StandardsPos,0
",",",",n,,0
They,they,s,ReportingStates,0
Are,are,s,ReportingStates,1
sure,sure,s,Confidence,0
to,to,s,Confidence,1
Hurt,hurt,c,ReportingStates,0
",",",",s,ReportingStates,1
if,if,s,Contingency,0
not,not,s,Contingency,1
to,to,s,,0
Kill,kill,c,Negativity,0
.,.,n,Imperative,0
Let,let,s,Imperative,1
Pity,pity,s,Sad,0
move,move,s,Motions,0
thee,thee,s,DirectAddress,0
to,to,s,,0
seem,seem,s,Uncertainty,0
Blind,blind,c,Negativity,0
",",",",n,,0
Lest,lest,s,Negativity,0
Seeing,seeing,c,,0
",",",",s,,0
thou,thou,s,DirectAddress,0
