O,o,s,LangRef,0
Ladies,ladies,c,PersonProperty,0
",",",",s,,0
there,there,s,ReportingStates,0
is,is,s,ReportingStates,1
the,the,s,ReportingStates,2
rarest,rarest,s,Exceptions,0
Beauty,beauty,s,StandardsPos,0
come,come,s,SceneShift,0
to,to,s,SceneShift,1
the,the,s,SceneShift,2
City,city,c,SceneShift,3
",",",",s,,0
out,out,s,SceneShift,0
of,of,s,SceneShift,1
the,the,s,SceneShift,2
Country,country,c,SceneShift,3
",",",",n,,0
that,that,s,,0
ever,ever,s,Biographical_Time,0
was,was,s,Biographical_Time,1
seen,seen,c,ReportingStates,0
",",",",s,ReportingStates,1
she,she,s,Neutral_Attribution,0
surpasses,surpasses,s,Neutral_Attribution,1
Hellen,hellen,s,UNRECOGNIZED,0
of,of,s,,0
Troy,troy,c,AbstractConcepts,0
",",",",s,,0
or,or,s,,0
AEneas,aeneas,s,UNRECOGNIZED,0
Mother,mother,s,CommonAuthorities,0
Queen,queen,s,CommonAuthorities,1
Venus,venus,nnn,UNRECOGNIZED,0
If,if,s,Contingency,0
she,she,s,Contingency,1
surpasses,surpasses,s,StandardsPos,0
their,their,s,PersonPronoun,0
Appetites,appetites,c,SubjectivePercept,0
",",",",s,,0
as,as,s,DirectAddress,0
you,you,s,DirectAddress,1
say,say,s,Citations,0
she,she,s,PersonPronoun,0
does,does,s,ReportingEvents,0
their,their,s,PersonPronoun,0
Beauties,beauties,c,StandardsPos,0
",",",",s,,0
she,she,s,PersonPronoun,0
may,may,n,Contingency,0
chance,chance,s,Contingency,0
to,to,s,,0
fire,fire,s,SenseObject,0
this,this,s,,0
City,city,s,CommonAuthorities,0
with,with,s,,0
flames,flames,s,SenseObject,0
of,of,s,StandardsPos,0
Love,love,c,StandardsPos,1
",",",",s,,0
or,or,s,,0
cause,cause,s,Cause,0
a,a,s,Cause,1
War,war,s,GenericEvents,0
to,to,s,,0
destroy,destroy,s,Negativity,0
it,it,nnn,,0
Have,have,s,DirectAddress,0
you,you,s,DirectAddress,1
seen,seen,s,DirectAddress,2
her,her,c,PersonPronoun,0
",",",",s,,0
Mother,mother,s,PersonProperty,0
Matron,matron,c,PersonProperty,0
?,?,nnn,Question,0
No,no,c,OralCues,0
",",",",s,OralCues,1
but,but,s,Resistance,0
a,a,s,Positivity,0
friend,friend,s,Positivity,1
of,of,s,Positivity,2
mine,mine,s,FirstPer,0
has,has,s,ProjectBack,0
seen,seen,s,ProjectBack,1
her,her,c,PersonPronoun,0
.,.,nnn,,0
Perchance,perchance,s,Contingency,0
your,your,s,DirectAddress,0
friend's,friend's,s,Positivity,0
a,a,s,Negativity,0
fool,fool,c,Negativity,1
",",",",s,,0
and,and,s,,0
knows,knows,s,Uncertainty,0
not,not,s,Uncertainty,1
how,how,s,Uncertainty,2
to,to,s,CommonAuthorities,0
judge,judge,c,CommonAuthorities,1
.,.,nnn,,0
Indeed,indeed,s,Intensity,0
my,my,s,FirstPer,0
friend's,friend's,s,Positivity,0
a,a,s,PersonProperty,0
woman,woman,c,PersonProperty,1
",",",",s,,0
and,and,s,,0
women,women,s,PersonProperty,0
have,have,s,Negativity,0
none,none,s,Negativity,1
of,of,s,Negativity,2
the,the,s,Positivity,0
best,best,s,Positivity,1
judgments,judgments,c,PrivateThinking,0
.,.,nnn,Resistance,0
But,but,s,Resistance,1
there,there,s,ReportingStates,0
is,is,s,ReportingStates,1
more,more,s,Comparison,0
probability,probability,s,Contingency,0
that,that,s,Updates,0
she,she,s,Updates,1
has,has,s,Updates,2
a,a,s,,0
surpassing,surpassing,s,StandardsPos,0
beauty,beauty,s,StandardsPos,0
if,if,s,Contingency,0
a,a,s,Contingency,1
woman,woman,n,PersonProperty,0
praise,praise,s,StandardsPos,0
her,her,c,PersonPronoun,0
",",",",s,,0
than,than,s,Comparison,0
if,if,s,Comparison,1
a,a,s,PersonProperty,0
man,man,s,PersonProperty,1
had,had,s,ProjectBack,0
praised,praised,s,StandardsPos,0
her,her,c,PersonPronoun,0
:,:,s,,0
for,for,s,,0
men,men,s,PersonProperty,0
have,have,s,ReportingEvents,0
a,a,s,ReportingEvents,1
partial,partial,s,SubjectivePercept,0
love,love,s,Positivity,0
to,to,s,Positivity,1
the,the,n,,0
Effeminate,effeminate,s,Negativity,0
Sex,sex,c,AbstractConcepts,0
",",",",s,Aside,0
which,which,s,Aside,1
multiplies,multiplies,s,Transformation,0
their,their,s,Transformation,1
beauties,beauties,s,StandardsPos,0
to,to,s,,0
their,their,s,PersonPronoun,0
sight,sight,c,SenseProperty,0
",",",",s,,0
and,and,s,,0
makes,makes,s,ReportingEvents,0
a,a,n,SenseObject,0
candle,candle,s,SenseObject,1
in,in,s,TimeDuration,0
the,the,s,TimeDuration,1
night,night,s,TimeDuration,2
seem,seem,s,Resemblances,0
like,like,s,Resemblances,1
a,a,s,,0
Blazing,blazing,s,SenseProperty,0
Star,star,nnn,SenseProperty,1
In,in,s,Intensity,0
truth,truth,s,Intensity,1
and,and,s,,0
Love,love,s,Positivity,0
is,is,s,ReportingStates,0
dark,dark,c,SenseProperty,0
:,:,s,,0
for,for,s,ReasonBackward,0
it,it,s,ReasonBackward,1
is,is,s,ReasonBackward,2
said,said,s,Citations,0
he,he,s,Updates,0
is,is,s,Updates,1
blind,blind,c,Negativity,0
.,.,nnn,Resistance,0
But,but,s,Resistance,1
Envy,envy,s,Negative_Relation,0
is,is,s,ReportingStates,0
quick-sighted,quick-sighted,c,SubjectiveTime,0
",",",",s,,0
and,and,s,,0
therefore,therefore,s,ReasonForward,0
I,i,s,Fear,0
am,am,s,Fear,1
afraid,afraid,s,Fear,2
the,the,s,PersonProperty,0
Lady,lady,s,PersonProperty,1
you,you,s,DirectAddress,0
speak,speak,s,Citations,0
of,of,s,Citations,1
is,is,n,ReportingStates,0
surpassing,surpassing,c,StandardsPos,0
",",",",s,ReasonForward,0
since,since,s,ReasonForward,1
those,those,s,,0
of,of,s,SubjectivePercept,0
her,her,s,SubjectivePercept,1
own,own,s,SubjectivePercept,2
Sex,sex,s,AbstractConcepts,0
can,can,s,StandardsPos,0
find,find,s,StandardsPos,1
no,no,s,DenyDisclaim,0
blemish,blemish,s,Negativity,0
or,or,s,,0
imperfection,imperfection,s,StandardsNeg,0
to,to,n,,0
cloud,cloud,s,SenseObject,0
her,her,s,PersonPronoun,0
from,from,s,,0
a,a,s,,0
praise,praise,nnn,StandardsPos,0
Ladies,ladies,c,PersonProperty,0
",",",",s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
come,come,s,ReportingEvents,0
to,to,s,,0
give,give,s,DirectAddress,0
you,you,s,DirectAddress,1
intelligence,intelligence,s,AbstractConcepts,0
of,of,s,,0
a,a,s,,0
rare,rare,s,Exceptions,0
Beauty,beauty,s,StandardsPos,0
that,that,s,Specifiers,0
is,is,s,Specifiers,1
come,come,s,ReportingEvents,0
to,to,n,,0
this,this,s,,0
City,city,nnn,CommonAuthorities,0
Her,her,s,PersonPronoun,0
Fame,fame,s,StandardsPos,0
has,has,s,,0
outrun,outrun,s,Resistance,0
your,your,s,DirectAddress,0
Intelligence,intelligence,c,AbstractConcepts,0
",",",",s,,0
Sir,sir,c,PersonProperty,0
;,;,s,Resistance,0
but,but,s,Resistance,1
have,have,s,DirectAddress,0
you,you,s,DirectAddress,1
seen,seen,s,DirectAddress,2
her,her,c,PersonPronoun,0
?,?,nnn,Question,0
No,no,s,DenyDisclaim,0
Lady,lady,c,PersonProperty,0
",",",",s,,0
not,not,s,DenyDisclaim,0
I,i,c,FirstPer,0
.,.,nnn,,0
Ladies,ladies,c,PersonProperty,0
",",",",s,,0
there,there,s,ReportingStates,0
is,is,s,ReportingStates,1
a,a,s,ReportingStates,2
rare,rare,s,Exceptions,0
Beauty,beauty,s,StandardsPos,0
come,come,s,ReportingEvents,0
to,to,s,,0
this,this,s,,0
Town,town,s,SpaceRelation,0
to,to,s,ProjectAhead,0
increase,increase,s,ProjectAhead,1
the,the,s,,0
number,number,s,AbstractConcepts,0
of,of,n,DirectAddress,0
your,your,s,DirectAddress,1
Cabal,cabal,nnn,Negativity,0
Our,our,s,Inclusive,0
Cabal,cabal,s,Negativity,0
is,is,s,ReportingStates,0
of,of,s,ReportingStates,1
Wit,wit,c,StandardsPos,0
",",",",s,,0
not,not,s,DenyDisclaim,0
of,of,s,,0
Beauty,beauty,c,StandardsPos,0
.,.,nnn,ReportingStates,0
It,it,s,ReportingStates,1
Is,is,s,ReportingStates,2
a,a,s,,0
Cabal,cabal,s,Negativity,0
of,of,s,,0
both,both,c,,0
",",",",s,,0
Lady,lady,c,PersonProperty,0
.,.,nnn,DirectAddress,0
Have,have,s,DirectAddress,1
you,you,s,DirectAddress,2
seen,seen,s,DirectAddress,3
her,her,c,PersonPronoun,0
?,?,nnn,Question,0
No,no,s,DenyDisclaim,0
Lady,lady,c,PersonProperty,0
",",",",s,Resistance,0
but,but,s,Resistance,1
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
heard,heard,s,Updates,0
of,of,s,,0
her,her,s,PersonPronoun,0
Beauty,beauty,c,StandardsPos,0
.,.,nnn,,0
Ladies,ladies,c,PersonProperty,0
",",",",s,,0
there,there,s,ReportingStates,0
is,is,s,ReportingStates,1
such,such,s,Specifiers,0
a,a,s,Specifiers,1
Beauty,beauty,s,StandardsPos,0
come,come,s,ReportingEvents,0
to,to,s,,0
Town,town,c,SpaceRelation,0
",",",",s,,0
that,that,s,Immediacy,0
now,now,s,Immediacy,1
or,or,s,,0
never,never,s,DenyDisclaim,0
you,you,s,Confidence,0
will,will,s,Confidence,1
be,be,n,Confidence,2
out-shin'd,out-shin'd,nnn,UNRECOGNIZED,0
