Homebred,homebred,s,PersonProperty,0
mirth,mirth,s,Positivity,0
our,our,s,Inclusive,0
Muse,muse,s,PrivateThinking,0
does,does,s,ReportingEvents,0
sing,sing,c,Motions,0
",",",",n,,0
The,the,s,,0
Satyrs,satyrs,s,SenseObject,0
tooth,tooth,s,SenseObject,0
and,and,s,,0
Waspish,waspish,s,PersonProperty,0
sting,sting,c,Negativity,0
",",",",n,Aside,0
Which,which,s,Aside,1
most,most,s,Comparison,0
do,do,s,Intensity,0
hurt,hurt,s,Negativity,0
when,when,s,,0
least,least,s,Comparison,0
suspected,suspected,c,Negativity,0
",",",",n,,0
By,by,s,,0
this,this,s,,0
Play,play,s,ReportingEvents,0
are,are,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
affected,affected,c,ReportingStates,0
;,;,n,ReportingStates,1
But,but,s,Resistance,0
if,if,s,Contingency,0
Conceit,conceit,s,SubjectivePercept,0
with,with,s,,0
quick-turn'd,quick-turn'd,s,UNRECOGNIZED,0
Scenes,scenes,c,AbstractConcepts,0
",",",",n,,0
Observing,observing,s,ReportingEvents,0
all,all,s,Generalization,0
those,those,s,Generalization,1
ancient,ancient,s,SubjectiveTime,0
streams,streams,c,SenseObject,0
",",",",n,Aside,0
Which,which,s,Aside,1
from,from,s,,0
the,the,s,,0
Horse-foot,horse-foot,s,SenseObject,0
fount,fount,s,SenseObject,0
do,do,s,Intensity,0
flow,flow,c,Motions,0
",",",",n,,0
As,as,s,,0
Time,time,c,,0
",",",",s,,0
Place,place,c,SpaceRelation,0
",",",",s,,0
Person,person,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
to,to,s,,0
show,show,c,ReportingEvents,0
",",",",n,,0
Things,things,s,Uncertainty,0
never,never,s,DenyDisclaim,0
done,done,s,Sequence,0
with,with,s,Sequence,1
that,that,s,,0
true,true,s,CommonAuthorities,0
life,life,c,CommonAuthorities,1
",",",",n,,0
That,that,s,,0
thoughts,thoughts,s,PrivateThinking,0
and,and,s,,0
wits,wits,s,StandardsPos,0
shall,shall,s,ProjectAhead,0
stand,stand,s,SpaceRelation,0
at,at,s,SpaceRelation,1
strife,strife,c,Negativity,0
",",",",n,Contingency,0
Whether,whether,s,Contingency,1
the,the,s,Specifiers,0
things,things,s,Specifiers,1
now,now,s,Immediacy,0
shown,shown,s,ReportingEvents,0
be,be,s,ReportingStates,0
true,true,c,Concessive,0
",",",",n,Concessive,1
Or,or,s,Contingency,0
whether,whether,s,Contingency,1
we,we,s,,0
our,our,s,Inclusive,0
selves,selves,s,SubjectivePercept,0
now,now,s,Immediacy,0
do,do,n,Intensity,0
The,the,s,Specifiers,0
things,things,s,Specifiers,1
we,we,s,,0
but,but,s,Resistance,0
present,present,c,,0
:,:,s,,0
if,if,s,Contingency,0
these,these,n,Immediacy,0
Free,free,s,StandardsPos,0
from,from,s,StandardsPos,1
the,the,s,StandardsPos,2
loathsome,loathsome,s,Negative_Relation,0
