O,o,s,LangRef,0
Jupiter,jupiter,c,UNRECOGNIZED,0
!,!,s,,0
what,what,s,,0
a,a,s,,0
hard,hard,s,,0
age,age,s,Specifiers,0
is,is,s,ReportingStates,0
this,this,s,,0
to,to,s,GenericEvents,0
be,be,s,GenericEvents,1
a,a,s,SenseObject,0
Servant,servant,s,SenseObject,1
in,in,c,,0
",",",",n,,0
Especially,especially,s,Specifiers,0
to,to,s,Specifiers,1
a,a,s,,0
foolish,foolish,s,Negativity,0
Master,master,c,PersonProperty,0
;,;,s,,0
if,if,s,Contingency,0
a,a,s,Contingency,1
servant,servant,s,PersonProperty,0
shall,shall,n,ProjectAhead,0
Give,give,s,,0
never,never,s,Intensity,0
so,so,s,Intensity,1
good,good,s,StandardsPos,0
Counsel,counsel,c,StandardsPos,1
",",",",s,,0
his,his,s,PersonPronoun,0
word,word,s,LangRef,0
will,will,s,PredictedFuture,0
not,not,n,PredictedFuture,1
Be,be,s,PredictedFuture,2
taken,taken,c,ReportingStates,0
",",",",s,ReportingStates,1
his,his,s,PersonPronoun,0
Master,master,s,PersonProperty,0
thinks,thinks,s,PrivateThinking,0
himself,himself,s,PersonPronoun,0
wiser,wiser,c,StandardsPos,0
",",",",s,ReasonForward,0
and,and,s,ReasonForward,1
so,so,n,ReasonForward,2
His,his,s,PersonPronoun,0
Family,family,s,,0
is,is,s,Confidence,0
bound,bound,s,Confidence,1
to,to,s,Confidence,2
suffer,suffer,s,Inclusive,0
with,with,s,Inclusive,1
him,him,c,PersonPronoun,0
;,;,s,,0
for,for,s,ReasonBackward,0
it,it,s,ReasonBackward,1
is,is,s,ReasonBackward,2
the,the,s,ReasonBackward,3
mischief,mischief,n,StandardsNeg,0
We,we,s,ReportingStates,0
are,are,s,ReportingStates,1
not,not,s,DenyDisclaim,0
Masters,masters,s,CommonAuthorities,0
of,of,s,CommonAuthorities,1
our,our,s,Inclusive,0
own,own,s,Inclusive,1
bodies,bodies,c,SenseObject,0
",",",",n,Resistance,0
But,but,s,Resistance,1
they,they,s,,0
that,that,s,,0
buy,buy,s,ReportingEvents,0
us,us,c,Inclusive,0
;,;,s,,0
and,and,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
much,much,s,Intensity,0
unlike,unlike,n,Comparison,0
This,this,s,,0
Case,case,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
ours,ours,c,Inclusive,0
",",",",s,,0
and,and,s,,0
slavery,slavery,c,Anger,0
",",",",s,,0
is,is,s,ReportingStates,0
that,that,s,ReportingStates,1
my,my,s,FirstPer,0
Master,master,s,PersonProperty,0
is,is,s,ReportingStates,0
in,in,s,,0
now,now,n,Sequence,0
By,by,s,Sequence,1
Apollo,apollo,c,UNRECOGNIZED,0
",",",",s,,0
with,with,s,,0
his,his,s,PersonPronoun,0
ambiguous,ambiguous,s,Uncertainty,0
answers,answers,s,Specifiers,0
from,from,s,,0
