NOw,now,s,Immediacy,0
Phillip,phillip,s,UNRECOGNIZED,0
Chabot,chabot,c,UNRECOGNIZED,0
",",",",s,,0
Admiral,admiral,s,PersonProperty,0
of,of,s,,0
France,france,c,,0
",",",",n,,0
The,the,s,Intensity,0
great,great,c,Intensity,1
",",",",s,,0
and,and,s,,0
only,only,s,SubjectivePercept,0
famous,famous,s,Positivity,0
Favorite,favorite,n,ProjectAhead,0
To,to,s,ProjectAhead,1
Francis,francis,s,UNRECOGNIZED,0
first,first,s,Sequence,0
of,of,s,Sequence,1
that,that,s,,0
Imperial,imperial,s,StandardsNeg,0
name,name,c,LangRef,0
",",",",n,,0
Has,has,s,,0
found,found,s,Narrative_Verbs,0
a,a,s,Narrative_Verbs,1
fresh,fresh,s,SenseProperty,0
competitor,competitor,s,PersonProperty,0
in,in,s,StandardsPos,0
glory,glory,c,StandardsPos,1
",",",",n,,0
(,(,c,,0
Duke,duke,s,CommonAuthorities,0
Montmorancie,montmorancie,c,UNRECOGNIZED,0
",",",",s,,0
Constable,constable,s,PersonProperty,0
of,of,s,,0
France,france,c,,0
),),n,,0
Who,who,s,,0
drinks,drinks,s,Motions,0
as,as,s,,0
deep,deep,s,AbstractConcepts,0
as,as,s,TimeDuration,0
he,he,s,TimeDuration,1
of,of,s,,0
the,the,s,SenseObject,0
stream,stream,s,SenseObject,1
Royal,royal,c,CommonAuthorities,0
",",",",n,,0
And,and,s,,0
may,may,s,Contingency,0
in,in,s,SubjectivePercept,0
little,little,s,SubjectivePercept,1
time,time,s,,0
convert,convert,s,ReportingEvents,0
the,the,s,ReportingEvents,1
strength,strength,n,AbstractConcepts,0
To,to,s,,0
raise,raise,s,ReportingEvents,0
his,his,s,PersonPronoun,0
spring,spring,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
blow,blow,s,Motions,0
the,the,s,Specifiers,0
others,others,s,Specifiers,1
fall,fall,c,,0
.,.,nn,,0
The,the,s,,0
world,world,s,AbstractConcepts,0
would,would,s,ProjectBack,0
wish,wish,s,SubjectivePercept,0
it,it,s,,0
so,so,c,AbstractConcepts,0
",",",",s,AbstractConcepts,1
that,that,s,PredictedFuture,0
will,will,s,PredictedFuture,1
not,not,s,DenyDisclaim,0
patiently,patiently,n,SubjectivePercept,0
Endure,endure,s,Resistance,0
the,the,s,SubjectiveTime,0
due,due,s,SubjectiveTime,1
rise,rise,s,SpaceRelation,0
of,of,s,SpaceRelation,1
a,a,s,,0
virtuous,virtuous,s,StandardsPos,0
man,man,c,PersonProperty,0
.,.,nn,,0
If,if,s,Contingency,0
he,he,s,Contingency,1
be,be,s,ReportingStates,0
virtuous,virtuous,c,StandardsPos,0
",",",",s,Specifiers,0
what,what,s,Specifiers,1
is,is,s,Specifiers,2
the,the,s,Specifiers,3
reason,reason,n,ReasonForward,0
That,that,s,ReasonForward,1
men,men,s,PersonProperty,0
affect,affect,s,ReportingEvents,0
him,him,s,ReportingEvents,1
not,not,c,DenyDisclaim,0
",",",",s,,0
why,why,s,Curiosity,0
is,is,s,Curiosity,1
he,he,s,Curiosity,2
lost,lost,n,Negativity,0
Toth,toth,c,UNRECOGNIZED,0
',',s,,0
general,general,s,CommonAuthorities,0
opinion,opinion,c,CommonAuthorities,1
",",",",s,,0
and,and,s,Transformation,0
become,become,n,Transformation,1
Rather,rather,s,Resistance,0
their,their,s,PersonPronoun,0
hate,hate,s,Negativity,0
than,than,s,Comparison,0
love,love,c,Positivity,0
?,?,nn,Question,0
I,i,s,FirstPer,0
wonder,wonder,s,Curiosity,0
you,you,n,DirectAddress,0
Will,will,s,PredictedFuture,0
question,question,s,AbstractConcepts,0
it,it,c,,0
",",",",s,,0
ask,ask,s,Request,0
a,a,s,SenseObject,0
ground,ground,s,SenseObject,1
or,or,s,,0
reason,reason,n,StandardsPos,0
Of,of,s,,0
men,men,s,PersonProperty,0
bred,bred,s,ReportingEvents,0
in,in,s,,0
this,this,s,,0
vile,vile,s,StandardsNeg,0
degenerate,degenerate,s,StandardsNeg,0
age,age,c,Specifiers,0
;,;,n,,0
The,the,s,Intensity,0
most,most,s,Intensity,1
men,men,s,PersonProperty,0
are,are,s,Negative_Attribution,0
not,not,s,Negative_Attribution,1
good,good,c,Negative_Attribution,2
",",",",s,,0
and,and,s,,0
it,it,s,,0
agrees,agrees,s,StandardsPos,0
not,not,n,DenyDisclaim,0
With,with,s,,0
impious,impious,s,StandardsNeg,0
natures,natures,s,AbstractConcepts,0
to,to,s,ProjectAhead,0
allow,allow,s,ProjectAhead,1
what,what,s,Question,0
is,is,s,Question,1
honest,honest,c,StandardsPos,0
",",",",n,,0
It,it,s,,0
Is,is,s,ReportingStates,0
an,an,s,ReportingStates,1
offense,offense,s,SubjectivePercept,0
enough,enough,s,SubjectivePercept,0
to,to,s,SubjectivePercept,1
be,be,s,ReportingStates,0
exalted,exalted,n,StandardsPos,0
To,to,s,,0
regal,regal,s,CommonAuthorities,0
favors,favors,c,Positivity,0
",",",",s,,0
great,great,s,Intensity,0
men,men,s,PersonProperty,0
are,are,s,Fear,0
not,not,s,Fear,1
safe,safe,n,Fear,2
In,in,s,SubjectivePercept,0
their,their,s,SubjectivePercept,1
own,own,s,SubjectivePercept,2
vice,vice,c,AbstractConcepts,0
",",",",s,SpaceRelation,0
where,where,s,SpaceRelation,1
good,good,s,StandardsPos,0
men,men,s,StandardsPos,1
by,by,s,Cause,0
the,the,s,Cause,1
hand,hand,n,Cause,2
Of,of,s,Cause,3
Kings,kings,s,PersonProperty,0
are,are,s,ReportingStates,0
planted,planted,s,ReportingEvents,0
to,to,s,,0
survey,survey,s,AbstractConcepts,0
their,their,s,PersonPronoun,0
workings,workings,c,AbstractConcepts,0
;,;,n,,0
What,what,s,,0
man,man,s,PersonProperty,0
was,was,s,ProjectBack,0
ever,ever,s,Biographical_Time,0
fixed,fixed,s,ReportingEvents,0
',',c,,0
ith,ith,s,UNRECOGNIZED,0
Sphere,sphere,s,SenseObject,0
of,of,s,StandardsPos,0
honor,honor,c,StandardsPos,1
",",",",n,,0
And,and,s,,0
precious,precious,s,StandardsPos,0
to,to,s,,0
his,his,s,PersonPronoun,0
Sovereign,sovereign,c,CommonAuthorities,0
",",",",s,,0
whose,whose,s,PersonPronoun,0
actions,actions,c,GenericEvents,0
",",",",n,,0
Nay,nay,s,OralCues,0
very,very,s,Intensity,0
soul,soul,s,Disclosure,0
was,was,s,ProjectBack,0
not,not,s,DenyDisclaim,0
exposed,exposed,s,SubjectivePercept,0
to,to,s,SubjectivePercept,1
every,every,n,Generalization,0
Common,common,s,AbstractConcepts,0
and,and,s,,0
base,base,s,AbstractConcepts,0
dissection,dissection,c,AbstractConcepts,0
?,?,s,Question,0
and,and,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
only,only,n,SubjectivePercept,0
That,that,s,Specifiers,0
which,which,s,Specifiers,1
in,in,s,Specifiers,0
Nature,nature,s,Specifiers,1
has,has,s,,0
excuse,excuse,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
in,in,n,SubjectivePercept,0
Themselves,themselves,s,SubjectivePercept,1
is,is,s,ReportingStates,0
priviledg'd,priviledg'd,s,UNRECOGNIZED,0
by,by,s,Specifiers,0
name,name,s,Specifiers,1
of,of,s,,0
frailty,frailty,c,Negativity,0
",",",",n,Resistance,0
But,but,s,Resistance,1
even,even,s,SubjectivePercept,0
Virtues,virtues,s,StandardsPos,0
are,are,s,ReportingStates,0
made,made,s,ReportingEvents,0
crimes,crimes,c,StandardsNeg,0
",",",",s,,0
and,and,s,,0
doomed,doomed,n,Negativity,0
Toth,toth,c,UNRECOGNIZED,0
',',s,,0
fate,fate,s,SubjectivePercept,0
of,of,s,,0
Treason,treason,c,StandardsNeg,0
.,.,nn,,0
A,a,s,Negativity,0
bad,bad,s,Negativity,1
age,age,s,Specifiers,0
