Drink,drink,s,Positivity,0
to,to,s,Positivity,1
day,day,s,TimeDuration,0
and,and,s,,0
drown,drown,s,Negativity,0
all,all,s,,0
sorrow,sorrow,c,Sad,0
",",",",n,,0
You,you,s,Insist,0
shall,shall,s,Insist,1
perhaps,perhaps,s,Uncertainty,0
not,not,s,DenyDisclaim,0
do,do,s,DenyDisclaim,1
it,it,s,,0
to,to,s,,0
morrow,morrow,c,ProjectAhead,0
.,.,n,,0
Best,best,s,Comparison,0
while,while,s,TimeDuration,0
you,you,s,DirectAddress,0
have,have,s,DirectAddress,1
it,it,s,,0
use,use,s,Procedures,0
your,your,s,Procedures,1
breath,breath,c,SenseObject,0
",",",",n,,0
There,there,s,DenyDisclaim,0
is,is,s,DenyDisclaim,1
no,no,s,DenyDisclaim,2
drinking,drinking,s,Motions,0
after,after,s,Sequence,0
death,death,c,Sequence,1
.,.,n,,0
Wine,wine,s,SenseObject,0
works,works,s,ReportingEvents,0
the,the,s,SenseObject,0
heart,heart,s,SenseObject,1
up,up,c,,0
",",",",s,,0
wakes,wakes,s,ReportingEvents,0
the,the,s,,0
wi^,wi^,c,UNRECOGNIZED,0
",",",",n,,0
There,there,s,DenyDisclaim,0
is,is,s,DenyDisclaim,1
no,no,s,DenyDisclaim,2
cure,cure,s,Positivity,0
against,against,s,,0
age,age,s,Specifiers,0
but,but,s,Resistance,0
it,it,c,Resistance,1
.,.,n,,0
It,it,s,Positivity,0
helps,helps,s,Positivity,1
the,the,s,,0
headache,headache,c,Negativity,0
",",",",s,,0
cough,cough,s,SenseProperty,0
and,and,s,,0
tissick,tissick,c,UNRECOGNIZED,0
",",",",n,,0
And,and,s,,0
is,is,s,ProjectAhead,0
for,for,s,ProjectAhead,1
all,all,s,,0
diseases,diseases,s,StandardsNeg,0
Physic,physic,c,AbstractConcepts,0
.,.,n,Sequence,0
Then,then,s,Sequence,1
let,let,s,DirectAddress,0
us,us,s,DirectAddress,1
swill,swill,s,Motions,0
boys,boys,s,PersonProperty,0
for,for,s,StandardsPos,0
our,our,s,StandardsPos,1
health,health,c,StandardsPos,2
",",",",n,,0
Who,who,s,,0
drinks,drinks,s,Motions,0
well,well,c,OralCues,0
",",",",s,OralCues,1
loves,loves,s,Positivity,0
the,the,s,Positivity,1
common,common,s,AbstractConcepts,0
wealth,wealth,c,Positivity,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
he,he,s,CommonAuthorities,0
that,that,s,CommonAuthorities,1
will,will,s,PredictedFuture,0
to,to,s,PredictedFuture,1
bed,bed,s,SenseObject,0
go,go,s,ReportingEvents,0
sober,sober,c,StandardsPos,0
",",",",n,,0
Falls,falls,s,,0
with,with,s,Specifiers,0
the,the,s,Specifiers,1
leaf,leaf,s,SenseObject,0
still,still,s,Updates,0
in,in,s,Updates,1
October,october,c,AbstractConcepts,0
.,.,n,,0
They,they,s,ReportingStates,0
are,are,c,ReportingStates,1
",",",",s,,0
sir,sir,c,PersonProperty,0
.,.,nn,ReportingStates,0
