AThens,athens,s,UNRECOGNIZED,0
and,and,s,,0
Rome,rome,c,,0
",",",",s,,0
from,from,s,OpenQuery,0
whence,whence,s,OpenQuery,1
this,this,s,,0
Trade,trade,s,AbstractConcepts,0
was,was,s,ProjectBack,0
brought,brought,c,ReportingStates,0
",",",",n,ReportingStates,1
Who,who,s,,0
best,best,s,Comparison,0
knew,knew,s,StandardsPos,0
how,how,s,StandardsPos,1
to,to,s,StandardsPos,2
Value,value,s,StandardsPos,0
what,what,s,,0
they,they,s,Neutral_Attribution,0
Taught,taught,c,Neutral_Attribution,1
",",",",n,,0
With,with,s,Specifiers,0
that,that,s,Specifiers,1
true,true,s,StandardsPos,0
Zeal,zeal,s,StandardsPos,0
their,their,s,PersonPronoun,0
Poets,poets,s,PersonProperty,0
did,did,s,ReportingEvents,0
Adore,adore,c,Positivity,0
",",",",n,,0
That,that,s,,0
scarce,scarce,s,Negativity,0
their,their,s,PersonPronoun,0
Conquerours,conquerours,s,UNRECOGNIZED,0
themselves,themselves,s,PersonPronoun,0
had,had,s,ProjectBack,0
more,more,c,Comparison,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
the,the,s,Comparison,0
same,same,s,Comparison,1
Wreath,wreath,c,SenseObject,0
",",",",s,,0
that,that,s,,0
did,did,s,ReportingEvents,0
in,in,s,StandardsPos,0
Peace,peace,s,StandardsPos,1
adorn,adorn,n,Positivity,0
The,the,s,,0
Poets,poets,s,PersonProperty,0
Brow,brow,c,SenseObject,0
",",",",n,,0
Was,was,s,ProjectBack,0
by,by,s,,0
the,the,s,,0
Victour,victour,s,UNRECOGNIZED,0
in,in,s,Specifiers,0
his,his,s,Specifiers,1
Triumphs,triumphs,s,Positivity,0
worn,worn,c,ReportingEvents,0
.,.,n,,0
Wit,wit,s,StandardsPos,0
then,then,s,,0
was,was,s,ProjectBack,0
Sacred,sacred,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
less,less,s,Comparison,0
Awe,awe,s,Intensity,0
was,was,s,ProjectBack,0
paid,paid,n,ReportingEvents,0
To,to,s,,0
Caesar,caesar,s,,0
Living,living,c,,0
",",",",s,,0
than,than,s,Comparison,0
to,to,s,Comparison,1
Virgil,virgil,s,UNRECOGNIZED,0
Dead,dead,c,Negativity,0
.,.,n,Resistance,0
But,but,s,Resistance,1
the,the,s,,0
Degenerate,degenerate,s,StandardsNeg,0
World,world,s,AbstractConcepts,0
has,has,s,,0
changed,changed,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
Scene,scene,c,AbstractConcepts,0
:,:,n,,0
Wit,wit,s,StandardsPos,0
never,never,s,DenyDisclaim,0
must,must,s,Insist,0
see,see,s,,0
those,those,s,,0
Golden,golden,s,SenseProperty,0
Days,days,s,TimeDuration,0
again,again,c,RecurringEvents,0
.,.,n,,0
The,the,s,CommonAuthorities,0
Reverend,reverend,s,CommonAuthorities,1
Stage,stage,s,SenseObject,0
has,has,s,,0
lost,lost,s,Negativity,0
its,its,s,,0
Native,native,s,CommonAuthorities,0
Use,use,c,ReportingEvents,0
",",",",n,,0
And,and,s,,0
is,is,s,ReportingStates,0
become,become,s,Transformation,0
a,a,s,Transformation,1
Bridewel,bridewel,s,UNRECOGNIZED,0
to,to,s,,0
a,a,s,CommonAuthorities,0
Muse,muse,c,CommonAuthorities,1
:,:,n,,0
For,for,s,,0
here,here,s,SpaceRelation,0
She,she,s,Insist,0
must,must,s,Insist,1
from,from,s,,0
testy,testy,s,Negativity,0
Critic,critic,s,PersonProperty,0
bear,bear,n,SenseObject,0
More,more,s,Comparison,0
Lashes,lashes,c,Negativity,0
",",",",s,,0
than,than,s,Comparison,0
poor,poor,s,Negativity,0
Punck,punck,s,UNRECOGNIZED,0
from,from,s,,0
Beadle,beadle,s,PersonProperty,0
there,there,c,SpaceRelation,0
.,.,n,SpaceRelation,1
Censure's,censure's,s,UNRECOGNIZED,0
your,your,s,DirectAddress,0
Game,game,c,AbstractConcepts,0
",",",",s,TimeDuration,0
and,and,s,TimeDuration,1
when,when,s,TimeDuration,2
you,you,s,DirectAddress,0
have,have,s,DirectAddress,1
rowz'd,rowz'd,s,UNRECOGNIZED,0
a,a,s,,0
Play,play,c,ReportingEvents,0
",",",",n,,0
How,how,s,,0
loud,loud,s,SenseProperty,0
the,the,s,,0
numerous,numerous,s,AbstractConcepts,0
Pack,pack,s,ReportingEvents,0
of,of,s,,0
Coxcombs,coxcombs,s,Negativity,0
Bay,bay,c,SenseObject,0
.,.,n,,0
The,the,s,Positivity,0
grateful,grateful,s,Positivity,1
Music,music,s,SenseProperty,0
echoes,echoes,s,SpaceRelation,0
through,through,s,,0
the,the,s,,0
Town,town,c,SpaceRelation,0
;,;,n,Specifiers,0
And,and,c,Specifiers,1
",",",",s,Specifiers,2
open-mouthed,open-mouthed,c,SubjectivePercept,0
",",",",s,,0
you,you,s,DirectAddress,0
run,run,s,ReportingEvents,0
the,the,s,,0
Poet,poet,s,PersonProperty,0
down,down,c,,0
.,.,n,ReasonForward,0
So,so,s,ReasonForward,1
snarlingly,snarlingly,s,UNRECOGNIZED,0
to,to,s,DirectAddress,0
your,your,s,DirectAddress,1
Delights,delights,s,Positivity,0
you,you,s,DirectAddress,0
move,move,c,Motions,0
",",",",n,,0
That,that,s,DirectAddress,0
you,you,s,DirectAddress,1
see,see,s,,0
Plays,plays,s,ReportingEvents,0
e'n,e'n,s,UNRECOGNIZED,0
just,just,s,Comparison,0
as,as,s,Comparison,1
Cats,cats,s,SenseObject,0
make,make,s,Positivity,0
Love,love,c,Positivity,1
.,.,n,SpaceRelation,0
Here,here,s,SpaceRelation,1
Three,three,s,Numbers,0
dull,dull,s,SenseProperty,0
Hours,hours,s,TimeDuration,0
in,in,s,TimeDuration,1
the,the,s,TimeDuration,0
Afternoon,afternoon,s,TimeDuration,1
you,you,s,DirectAddress,0
pass,pass,c,ReportingEvents,0
",",",",n,,0
With,with,s,Metadiscourse,0
those,those,s,Metadiscourse,1
crampt,crampt,s,UNRECOGNIZED,0
Looks,looks,c,ReportingEvents,0
",",",",s,,0
and,and,s,,0
with,with,s,Specifiers,0
that,that,s,Specifiers,1
Damned,damned,s,Anger,0
Grimace,grimace,c,Negativity,0
",",",",n,,0
In,in,s,Specifiers,0
so,so,s,Specifiers,1
much,much,s,Specifiers,2
Pain,pain,c,Negativity,0
",",",",s,ReasonForward,0
so,so,s,ReasonForward,1
much,much,s,Intensity,0
against,against,s,,0
your,your,s,DirectAddress,0
Will,will,c,PredictedFuture,0
",",",",n,,0
As,as,s,Resemblances,0
if,if,s,Resemblances,1
your,your,s,DirectAddress,0
Morning,morning,c,,0
-,-,s,,0
Bolus,bolus,s,SenseObject,0
grumbled,grumbled,s,ReportingEvents,0
still,still,c,Updates,0
.,.,n,,0
The,the,s,PersonProperty,0
Ladies,ladies,s,PersonProperty,1
too,too,c,Metadiscourse,0
",",",",s,Metadiscourse,1
who,who,s,,0
should,should,s,Insist,0
Relieve,relieve,s,Reassure,0
the,the,s,SenseObject,0
Stage,stage,c,SenseObject,1
",",",",n,,0
