SInce,since,s,ReasonBackward,0
it,it,s,ReasonBackward,1
is,is,s,ReasonBackward,2
become,become,s,Transformation,0
the,the,s,Transformation,1
Title,title,s,LangRef,0
of,of,s,Inclusive,0
our,our,s,Inclusive,1
Play,play,c,ReportingEvents,0
",",",",n,,0
A,a,s,PersonProperty,0
woman,woman,s,PersonProperty,1
once,once,s,TimeShift,0
in,in,s,,0
a,a,s,,0
Coronation,coronation,s,CommonAuthorities,0
may,may,n,Contingency,0
With,with,s,,0
pardon,pardon,c,Positivity,0
",",",",s,,0
speak,speak,s,ReportingEvents,0
the,the,s,Sequence,0
Prologue,prologue,c,Sequence,1
",",",",s,,0
give,give,s,,0
as,as,s,,0
free,free,n,StandardsPos,0
A,a,s,StandardsPos,1
welcome,welcome,s,Positivity,0
to,to,s,Positivity,1
the,the,s,GenericEvents,0
Theater,theater,c,GenericEvents,1
",",",",s,,0
as,as,s,TimeDuration,0
he,he,n,TimeDuration,1
That,that,s,Contingency,0
with,with,s,Contingency,1
a,a,s,Contingency,2
little,little,s,SenseProperty,0
beard,beard,c,SenseObject,0
",",",",s,,0
a,a,s,,0
long,long,s,SenseProperty,0
black,black,s,SenseProperty,0
clok^,clok^,c,UNRECOGNIZED,0
",",",",n,,0
With,with,s,Specifiers,0
a,a,s,Specifiers,1
starched,starched,s,SenseProperty,0
face,face,c,SenseObject,0
",",",",s,,0
and,and,s,,0
supple,supple,s,SenseProperty,0
leg,leg,s,SenseObject,0
has,has,s,,0
spoke,spoke,n,ReportingEvents,0
Before,before,s,Sequence,0
the,the,s,LangRef,0
Plays,plays,s,LangRef,1
the,the,s,,0
twelvemonth,twelvemonth,c,TimeDuration,0
",",",",s,,0
let,let,s,ReportingEvents,0
me,me,s,FirstPer,0
the^,the^,c,UNRECOGNIZED,0
*,*,n,,0
Present,present,s,ReportingEvents,0
a,a,s,ReportingEvents,1
welcome,welcome,s,Positivity,0
to,to,s,Positivity,1
these,these,s,Immediacy,0
Gentlemen,gentlemen,c,Positivity,0
",",",",n,,0
If,if,s,Contingency,0
you,you,s,DirectAddress,0
be,be,s,DirectAddress,1
kind,kind,c,Positivity,0
",",",",s,,0
and,and,s,,0
noble,noble,c,StandardsPos,0
",",",",s,,0
you,you,s,DirectAddress,0
will,will,s,PredictedFuture,0
not,not,n,PredictedFuture,1
Think,think,s,Citations,0
the,the,s,Citations,1
worse,worse,s,Negativity,0
of,of,s,,0
^,^,c,UNRECOGNIZED,0
e,e,s,LangRef,0
for,for,s,,0
my,my,s,FirstPer,0
petticote,petticote,c,UNRECOGNIZED,0
.,.,n,Resistance,0
But,but,s,Resistance,1
to,to,s,,0
the,the,s,LangRef,0
Play,play,c,LangRef,1
",",",",s,,0
the,the,s,,0
Poet,poet,s,PersonProperty,0
bad,bad,s,Negativity,0
me,me,s,FirstPer,0
tell,tell,n,,0
His,his,s,PersonPronoun,0
fears,fears,s,Fear,0
first,first,s,Sequence,0
in,in,s,Citations,0
the,the,s,Citations,1
title,title,c,Citations,2
",",",",s,,0
lest,lest,s,Contingency,0
it,it,s,Contingency,1
swell,swell,n,Transformation,0
Some,some,s,Uncertainty,0
thoughts,thoughts,s,PrivateThinking,0
with,with,s,ProjectAhead,0
expectation,expectation,s,ProjectAhead,1
of,of,s,,0
a,a,s,,0
strain,strain,c,ReportingEvents,0
",",",",n,,0
That,that,s,,0
but,but,s,Resistance,0
once,once,s,TimeShift,0
could,could,s,Contingency,0
be,be,s,Contingency,1
seen,seen,s,ReportingStates,0
in,in,s,ReportingStates,1
a,a,s,ReportingStates,2
Kings,kings,s,PersonProperty,0
reign,reign,c,CommonAuthorities,0
",",",",n,,0
This,this,s,,0
Coronation,coronation,c,CommonAuthorities,0
",",",",s,,0
^,^,c,UNRECOGNIZED,0
e,e,s,LangRef,0
hopes,hopes,s,Positivity,0
you,you,s,DirectAddress,0
may,may,n,DirectAddress,1
See,see,s,GenericEvents,0
often,often,c,GenericEvents,1
",",",",s,,0
while,while,s,TimeDuration,0
the,the,s,TimeDuration,1
(,(,c,,0
...,...,c,UNRECOGNIZED,0
),),s,,0
of,of,s,,0
his,his,s,PersonPronoun,0
Play,play,c,ReportingEvents,0
",",",",n,,0
Does,does,s,ReportingEvents,0
proph^sit,proph^sit,s,UNRECOGNIZED,0
the,the,s,,0
Conduites,conduites,s,UNRECOGNIZED,0
may,may,s,Contingency,0
run,run,s,ReportingEvents,0
wine,wine,c,SenseObject,0
",",",",n,,0
When,when,s,,0
the,the,s,,0
days,days,s,TimeDuration,0
triumph's,triumph's,s,UNRECOGNIZED,0
ended,ended,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
divine,divine,n,StandardsPos,0
Brisk,brisk,s,SenseProperty,0
Nectar,nectar,s,SenseObject,0
swell,swell,s,Motions,0
his,his,s,Motions,1
temples,temples,s,SenseObject,0
to,to,s,,0
a,a,s,Intensity,0
rage,rage,c,Intensity,1
",",",",n,,0
With,with,s,,0
something,something,s,Uncertainty,0
of,of,s,,0
more,more,s,Comparison,0
price,price,s,AbstractConcepts,0
to,to,s,,0
invest,invest,s,ReportingEvents,0
the,the,s,SenseObject,0
stage,stage,c,SenseObject,1
*,*,n,,0
There,there,s,,0
rests,rests,s,ReportingEvents,0
but,but,s,Resistance,0
to,to,s,Resistance,1
prepare,prepare,s,DirectAddress,0
you,you,c,DirectAddress,1
",",",",s,,0
that,that,s,,0
although,although,n,Concessive,0
It,it,s,,0
b^,b^,s,UNRECOGNIZED,0
a,a,s,,0
Coronation,coronation,c,CommonAuthorities,0
",",",",s,,0
there,there,s,,0
does,does,s,ReportingEvents,0
flow,flow,n,Motions,0
No,no,s,DenyDisclaim,0
undermirth,undermirth,c,UNRECOGNIZED,0
",",",",s,,0
such,such,s,Specifiers,0
as,as,s,Specifiers,1
does,does,s,ReportingEvents,0
lar'^,lar'^,s,UNRECOGNIZED,0
the,the,s,SpaceRelation,0
scene,scene,n,SpaceRelation,1
For,for,s,,0
course,course,s,AbstractConcepts,0
delight,delight,c,Positivity,0
",",",",s,,0
the,the,s,,0
language,language,s,LangRef,0
here,here,s,Immediacy,0
is,is,s,Immediacy,1
clear,clear,c,,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
confident,confident,s,StandardsPos,0
our,our,s,Inclusive,0
Poet,poet,s,PersonProperty,0
bad,bad,s,Negativity,0
me,me,s,FirstPer,0
say,say,c,Citations,0
",",",",n,,0
Heel,heel,s,SenseObject,0
bate,bate,s,Motions,0
you,you,s,DirectAddress,0
but,but,s,Resistance,0
the,the,s,,0
folly,folly,s,StandardsNeg,0
of,of,s,,0
a,a,s,,0
Play,play,c,ReportingEvents,0
.,.,n,OpenQuery,0
For,for,s,OpenQuery,1
which,which,s,OpenQuery,2
although,although,s,Concessive,0
dull,dull,s,SenseProperty,0
souls,souls,s,Disclosure,0
his,his,s,PersonPronoun,0
pen,pen,s,SenseObject,0
despise,despise,c,Negative_Relation,0
",",",",n,,0
Who,who,s,,0
thinks,thinks,s,PrivateThinking,0
it,it,s,PrivateThinking,1
yet,yet,s,Resistance,0
too,too,s,Negativity,0
early,early,s,Negativity,1
to,to,s,GenericEvents,0
be,be,s,GenericEvents,1
wise,wise,c,StandardsPos,0
.,.,n,,0
The,the,s,,0
nobler,nobler,s,Comparison,0
will,will,s,PredictedFuture,0
thank,thank,s,Acknowledge,0
his,his,s,PersonPronoun,0
muse,muse,c,PrivateThinking,0
",",",",s,,0
at,at,s,SubjectivePercept,0
least,least,n,SubjectivePercept,1
Excuse,excuse,s,StandardsPos,0
him,him,c,PersonPronoun,0
",",",",s,,0
cause,cause,s,Cause,0
his,his,s,Cause,1
thought,thought,s,PrivateThinking,0
aimed,aimed,s,ProjectAhead,0
at,at,s,ProjectAhead,1
the,the,s,Positivity,0
best,best,c,Positivity,1
",",",",n,Resistance,0
But,but,s,Resistance,1
we,we,s,,0
conclude,conclude,s,Sequence,0
not,not,c,DenyDisclaim,0
",",",",s,,0
it,it,s,,0
do,do,s,Intensity,0
rest,rest,s,,0
in,in,s,DirectAddress,0
you,you,c,DirectAddress,1
.,.,n,,0
To,to,s,,0
c^nsure,c^nsure,s,UNRECOGNIZED,0
Poet,poet,c,PersonProperty,0
",",",",s,,0
Play,play,c,ReportingEvents,0
",",",",s,,0
and,and,s,,0
Prologue,prologue,s,Sequence,0
too,too,c,Metadiscourse,0
.,.,n,Metadiscourse,1
But,but,s,Resistance,0
what,what,s,Resistance,1
have,have,s,Question,0
I,i,s,Question,1
omitted,omitted,c,Negativity,0
?,?,s,Question,0
is,is,s,ReportingStates,0
there,there,s,DenyDisclaim,0
not,not,n,DenyDisclaim,1
A,a,s,,0
blush,blush,s,SenseProperty,0
upon,upon,s,,0
my,my,s,FirstPer,0
cheeks,cheeks,s,SenseObject,0
that,that,s,,0
I,i,s,FirstPer,0
forg^t,forg^t,n,UNRECOGNIZED,0
The,the,s,PersonProperty,0
Ladies,ladies,c,PersonProperty,1
",",",",s,,0
and,and,s,,0
a,a,s,,0
Female,female,s,PersonProperty,0
Prologue,prologue,s,Sequence,0
too,too,c,,0
?,?,n,Question,0
Your,your,s,DirectAddress,0
pardon,pardon,s,Positivity,0
noble,noble,s,StandardsPos,0
Gentlewomen,gentlewomen,c,PersonProperty,0
",",",",s,,0
you,you,n,DirectAddress,0
Were,were,s,ProjectBack,0
first,first,s,Sequence,0
within,within,s,,0
my,my,s,SelfDisclosure,0
thoughts,thoughts,c,SelfDisclosure,1
",",",",s,,0
I,i,s,FirstPer,0
know,know,s,Confidence,0
you,you,s,DirectAddress,0
sit,sit,n,SenseProperty,0
As,as,s,,0
free,free,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
high,high,s,CommonAuthorities,0
Commissioners,commissioners,s,CommonAuthorities,1
of,of,s,,0
wit,wit,c,StandardsPos,0
",",",",n,,0
Have,have,s,,0
clear,clear,c,,0
",",",",s,,0
and,and,s,,0
active,active,s,,0
souls,souls,c,Disclosure,0
",",",",s,,0
nay,nay,s,OralCues,0
though,though,s,Concessive,0
the,the,s,PersonProperty,0
men,men,n,PersonProperty,1
Were,were,s,ProjectBack,0
lost,lost,s,Negativity,0
in,in,s,Negativity,1
your,your,s,DirectAddress,0
eyes,eyes,c,SenseObject,0
",",",",s,,0
they,they,s,,0
will,will,s,PredictedFuture,0
be,be,s,PredictedFuture,1
found,found,s,ReportingEvents,0
again,again,c,RecurringEvents,0
",",",",n,,0
You,you,s,DirectAddress,0
are,are,s,DirectAddress,1
the,the,s,DirectAddress,2
bright,bright,s,Positivity,0
intelligences,intelligences,s,,0
move,move,c,Motions,0
",",",",n,,0
And,and,s,,0
make,make,s,ReportingEvents,0
a,a,s,SenseProperty,0
harmony,harmony,s,SenseProperty,1
this,this,s,,0
sphere,sphere,s,SenseObject,0
of,of,s,StandardsPos,0
Love,love,c,StandardsPos,1
",",",",n,,0
Be,be,s,ReportingStates,0
you,you,s,DirectAddress,0
propitious,propitious,s,Positivity,0
then,then,c,TimeShift,0
",",",",s,TimeShift,1
our,our,s,Inclusive,0
Poet,poet,s,PersonProperty,0
says,says,c,Citations,0
",",",",n,,0
Our,our,s,Inclusive,0
wreath,wreath,s,SenseObject,0
from,from,s,DirectAddress,0
you,you,c,DirectAddress,1
",",",",s,,0
is,is,s,SubjectivePercept,0
worth,worth,s,SubjectivePercept,1
their,their,s,PersonPronoun,0
grove,grove,s,SpaceRelation,0
of,of,s,SpaceRelation,1
Bays,bays,c,SenseObject,0
:,:,nn,,0
MAke,make,s,ReportingEvents,0
way,way,s,ReportingEvents,1
for,for,s,ReportingEvents,2
my,my,s,DirectAddress,0
Lord,lord,s,DirectAddress,1
Protector,protector,c,StandardsPos,0
.,.,nnn,,0
Your,your,s,DirectAddress,0
graces,graces,s,StandardsPos,0
servants,servants,c,PersonProperty,0
.,.,nnn,,0
I,i,s,SelfDisclosure,0
like,like,s,SelfDisclosure,1
your,your,s,DirectAddress,0
diligent,diligent,s,StandardsPos,0
waiting,waiting,c,ProjectAhead,0
",",",",s,SpaceRelation,0
where,where,s,SpaceRelation,1
is,is,s,ReportingStates,0
Lisimachus,lisimachus,c,UNRECOGNIZED,0
?,?,nnn,Question,0
I,i,s,FirstPer,0
wait,wait,s,ProjectAhead,0
upon,upon,s,DirectAddress,0
you,you,s,DirectAddress,1
sir,sir,c,PersonProperty,0
.,.,nnn,,0
The,the,s,,0
Queen,queen,s,PersonProperty,0
looks,looks,s,ReportingEvents,0
pleasant,pleasant,n,Positivity,0
This,this,s,Immediacy,0
morning,morning,c,Immediacy,1
",",",",s,,0
does,does,s,Question,0
she,she,s,Question,1
not,not,c,DenyDisclaim,0
?,?,nn,Question,0
I,i,s,FirstPer,0
ever,ever,s,Biographical_Time,0
found,found,n,Narrative_Verbs,0
Her,her,s,Narrative_Verbs,1
gracious,gracious,s,StandardsPos,0
smiles,smiles,s,Positivity,0
on,on,s,Positivity,1
me,me,c,FirstPer,0
.,.,nn,Intensity,0
She,she,s,Intensity,1
does,does,s,Intensity,2
consult,consult,n,ReportingEvents,0
Her,her,s,ReportingEvents,1
safety,safety,s,StandardsPos,0
in,in,s,,0
it,it,c,,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
I,i,s,ReasonForward,2
must,must,s,Insist,0
tell,tell,s,Insist,1
thee,thee,s,DirectAddress,0
boy,boy,c,PersonProperty,0
",",",",n,Resistance,0
But,but,s,Resistance,1
in,in,s,,0
the,the,s,Positivity,0
assurance,assurance,s,Positivity,1
of,of,s,Positivity,2
her,her,s,PersonPronoun,0
love,love,s,Positivity,0
to,to,s,Positivity,1
thee,thee,c,DirectAddress,0
",",",",n,,0
I,i,s,Insist,0
should,should,s,Insist,1
advance,advance,s,ReportingEvents,0
thy,thy,s,DirectAddress,0
hopes,hopes,s,Positivity,0
another,another,s,Comparison,0
way,way,c,Comparison,1
",",",",n,Imperative,0
And,and,s,Imperative,1
use,use,s,Imperative,2
the,the,s,Imperative,3
power,power,s,AbstractConcepts,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
in,in,s,,0
Epire,epire,c,UNRECOGNIZED,0
",",",",s,,0
to,to,n,,0
Settle,settle,s,ReportingEvents,0
our,our,s,Inclusive,0
own,own,c,Inclusive,1
",",",",s,,0
and,and,s,,0
uncontrouled,uncontrouled,s,UNRECOGNIZED,0
greatness,greatness,c,StandardsPos,0
;,;,n,Resistance,0
But,but,s,Resistance,1
since,since,s,TimeShift,0
she,she,s,TimeShift,1
carries,carries,s,Motions,0
her,her,s,SubjectivePercept,0
self,self,s,SubjectivePercept,1
so,so,s,,0
fairly,fairly,c,StandardsPos,0
",",",",n,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
content,content,s,Positivity,0
to,to,s,Positivity,1
expect,expect,c,ProjectAhead,0
",",",",s,,0
and,and,s,,0
by,by,s,,0
her,her,s,PersonPronoun,0
marriage,marriage,n,CommonAuthorities,0
Secure,secure,s,StandardsPos,0
thy,thy,s,DirectAddress,0
fortune,fortune,c,ProjectAhead,0
",",",",s,,0
that,that,s,Specifiers,0
is,is,s,Specifiers,1
all,all,s,Generalization,0
my,my,s,Generalization,1
ambition,ambition,n,ProjectAhead,0
Now,now,c,Updates,0
",",",",s,Updates,1
be,be,s,SpaceRelation,0
still,still,s,SpaceRelation,1
careful,careful,s,StandardsPos,0
in,in,s,,0
thy,thy,s,DirectAddress,0
applications,applications,n,AbstractConcepts,0
To,to,s,AbstractConcepts,1
her,her,c,PersonPronoun,0
",",",",s,,0
I,i,s,Insist,0
must,must,s,Insist,1
attend,attend,s,SpaceRelation,0
other,other,s,Specifiers,0
affairs,affairs,c,GenericEvents,0
",",",",n,,0
Return,return,c,RecurringEvents,0
",",",",s,,0
and,and,s,,0
use,use,s,ReportingEvents,0
what,what,s,,0
art,art,s,AbstractConcepts,0
thou,thou,s,DirectAddress,0
can,can,s,Contingency,0
to,to,s,,0
lay,lay,n,ReportingEvents,0
More,more,s,Comparison,0
charms,charms,s,Positivity,0
of,of,s,StandardsPos,0
love,love,s,StandardsPos,1
upon,upon,s,Immediacy,0
her,her,c,Immediacy,1
.,.,nn,,0
I,i,s,FirstPer,0
presume,presume,n,ReasonForward,0
She,she,s,SubjectiveTime,0
always,always,s,SubjectiveTime,1
speaks,speaks,s,,0
the,the,s,,0
language,language,s,LangRef,0
of,of,s,,0
her,her,s,PersonPronoun,0
heart,heart,c,SenseObject,0
",",",",n,,0
And,and,s,,0
I,i,s,Contingency,0
can,can,s,Contingency,1
be,be,s,Contingency,2
ambitious,ambitious,s,ProjectAhead,0
for,for,s,,0
no,no,s,DenyDisclaim,0
more,more,n,DenyDisclaim,1
Happiness,happiness,s,Positivity,0
on,on,s,SpaceRelation,0
earth,earth,s,SpaceRelation,1
then,then,s,Sequence,0
she,she,s,Sequence,1
encourages,encourages,n,Positivity,0
Me,me,s,FirstPer,0
to,to,s,,0
expect,expect,c,ProjectAhead,0
.,.,nn,ProjectBack,0
It,it,s,ProjectBack,1
was,was,s,ProjectBack,2
an,an,s,,0
act,act,s,,0
becoming,becoming,n,Transformation,0
The,the,s,Transformation,1
wisdom,wisdom,s,StandardsPos,0
of,of,s,,0
her,her,s,PersonPronoun,0
Father,father,s,Positivity,0
to,to,s,Positivity,1
engage,engage,n,ReportingEvents,0
A,a,s,ReportingEvents,1
tie,tie,s,SenseObject,0
between,between,s,Inclusive,0
our,our,s,Inclusive,1
families,families,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
she,she,n,Neutral_Attribution,0
Has,has,s,Neutral_Attribution,1
played,played,s,Narrative_Verbs,0
her,her,s,Narrative_Verbs,1
best,best,s,Comparison,0
discretion,discretion,s,Contingency,0
to,to,s,ProjectAhead,0
allow,allow,s,ProjectAhead,1
it,it,c,,0
;,;,n,Resistance,0
But,but,s,Resistance,1
we,we,s,,0
lose,lose,s,StandardsNeg,0
time,time,s,StandardsNeg,1
in,in,s,SpaceRelation,0
conference,conference,c,SpaceRelation,1
",",",",s,,0
wait,wait,s,SpaceRelation,0
on,on,s,SpaceRelation,1
her,her,c,PersonPronoun,0
",",",",n,,0
And,and,s,,0
be,be,s,ReportingStates,0
what,what,s,,0
thou,thou,s,DirectAddress,0
were,were,s,ProjectBack,0
borne,borne,s,ReportingEvents,0
for,for,c,,0
",",",",s,,0
King,king,s,PersonProperty,0
of,of,s,,0
Epire,epire,c,UNRECOGNIZED,0
",",",",n,,0
I,i,s,Insist,0
must,must,s,Insist,1
away,away,c,,0
.,.,nn,,0
Success,success,s,StandardsPos,0
ever,ever,s,Biographical_Time,0
attend,attend,s,SpaceRelation,0
you,you,c,SpaceRelation,1
.,.,n,,0
Is,is,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
the,the,s,,0
Queen,queen,s,PersonProperty,0
yet,yet,s,Resistance,0
coming,coming,s,ReportingEvents,0
forth,forth,c,ReportingEvents,1
?,?,nn,Question,0
Your,your,s,DirectAddress,0
servant,servant,c,PersonProperty,0
",",",",n,,0
You,you,s,DirectAddress,0
may,may,s,DirectAddress,1
command,command,s,CommonAuthorities,0
our,our,s,Inclusive,0
duties,duties,c,StandardsPos,0
",",",",n,,0
This,this,s,ReportingStates,0
is,is,s,ReportingStates,1
the,the,s,CommonAuthorities,0
Court,court,s,CommonAuthorities,1
star,star,s,SenseObject,0
Philocles,philocles,c,UNRECOGNIZED,0
.,.,nn,,0
The,the,s,SenseObject,0
star,star,s,SenseObject,1
that,that,s,Insist,0
we,we,s,Insist,1
must,must,s,Insist,2
sail,sail,s,Motions,0
by,by,c,,0
.,.,nnn,,0
All,all,s,,0
must,must,s,Insist,0
borrow,borrow,n,ReportingEvents,0
A,a,s,ReportingEvents,1
light,light,s,SenseProperty,0
from,from,s,,0
him,him,c,PersonPronoun,0
",",",",s,,0
the,the,s,,0
young,young,s,SenseProperty,0
Queen,queen,s,PersonProperty,0
directs,directs,s,ReportingEvents,0
all,all,n,Generalization,0
Her,her,s,Generalization,1
favors,favors,s,Positivity,0
that,that,s,,0
way,way,c,AbstractConcepts,0
.,.,nn,,0
He,he,s,Neutral_Attribution,0
Is,is,s,Neutral_Attribution,1
a,a,s,Neutral_Attribution,2
noble,noble,s,StandardsPos,0
Gentleman,gentleman,n,Positivity,0
And,and,s,,0
worthy,worthy,s,StandardsPos,0
of,of,s,StandardsPos,1
his,his,s,PersonPronoun,0
expectations,expectations,c,ProjectAhead,0
:,:,n,,0
Too,too,s,Negativity,0
good,good,s,Negativity,1
to,to,s,GenericEvents,0
be,be,s,GenericEvents,1
the,the,s,Biographical_Time,0
son,son,s,Biographical_Time,1
of,of,s,Biographical_Time,2
such,such,s,Specifiers,0
a,a,s,Specifiers,1
Father,father,c,PersonProperty,0
.,.,nn,,0
Peace,peace,c,StandardsPos,0
",",",",s,,0
remember,remember,s,ProjectBack,0
he,he,s,Updates,0
is,is,s,Updates,1
Lord,lord,s,CommonAuthorities,0
Protector,protector,c,StandardsPos,0
.,.,nnn,,0
We,we,s,Inclusive,0
have,have,s,Inclusive,1
more,more,s,Comparison,0
need,need,s,Insist,0
of,of,s,CommonAuthorities,0
Heavens,heavens,s,CommonAuthorities,1
protection,protection,n,StandardsPos,0
In,in,s,,0
The,the,s,,0
mean,mean,s,AbstractConcepts,0
time,time,c,AbstractConcepts,1
",",",",s,,0
I,i,s,FirstPer,0
wonder,wonder,s,Curiosity,0
the,the,s,,0
old,old,s,SenseProperty,0
King,king,n,PersonProperty,0
Did,did,s,ReportingEvents,0
in,in,s,Disclosure,0
his,his,s,Disclosure,1
life,life,s,Disclosure,2
design,design,s,AbstractConcepts,0
him,him,s,PersonPronoun,0
for,for,s,,0
the,the,s,SenseObject,0
office,office,c,SenseObject,1
.,.,nn,,0
He,he,s,PersonPronoun,0
might,might,s,Contingency,0
suspect,suspect,s,Negativity,0
his,his,s,PersonPronoun,0
faith,faith,c,StandardsPos,0
",",",",s,,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
heard,heard,s,Updates,0
when,when,n,,0
The,the,s,SenseObject,0
King,king,s,SenseObject,1
who,who,s,ProjectBack,0
was,was,s,ProjectBack,1
no,no,s,DenyDisclaim,0
Epirote,epirote,s,UNRECOGNIZED,0
advanced,advanced,n,Narrative_Verbs,0
His,his,s,Narrative_Verbs,1
claim,claim,c,Citations,0
",",",",s,,0
Cassander,cassander,c,UNRECOGNIZED,0
",",",",s,,0
our,our,s,Inclusive,0
Protector,protector,s,StandardsPos,0
now,now,c,Updates,0
",",",",n,Updates,1
Young,young,s,SenseProperty,0
then,then,c,TimeShift,0
",",",",s,TimeShift,1
opposed,opposed,s,Resistance,0
him,him,s,PersonPronoun,0
toughly,toughly,s,SenseProperty,0
with,with,s,,0
his,his,s,PersonPronoun,0
faction,faction,c,StandardsNeg,0
