EXpect,expect,s,ProjectAhead,0
me,me,s,FirstPer,0
an,an,s,TimeDuration,0
hour,hour,s,TimeDuration,1
hence,hence,c,ReasonForward,0
",",",",s,ReasonForward,1
my,my,s,FirstPer,0
friend,friend,s,StandardsPos,0
and,and,s,,0
I,i,n,FirstPer,0
Will,will,s,PredictedFuture,0
walk,walk,s,Motions,0
and,and,s,,0
see,see,s,,0
the,the,s,,0
City,city,c,CommonAuthorities,0
",",",",s,,0
make,make,s,ReportingEvents,0
it,it,s,ReportingEvents,1
your,your,n,DirectAddress,0
Caroto,caroto,s,UNRECOGNIZED,0
get,get,s,,0
Supper,supper,s,TimeDuration,0
ready,ready,c,ProjectAhead,0
.,.,nn,,0
If,if,s,Contingency,0
I,i,s,FirstPer,0
do,do,s,DenyDisclaim,0
not,not,n,DenyDisclaim,1
I,i,s,FirstPer,0
know,know,s,Confidence,0
who,who,s,Confidence,1
is,is,s,Resemblances,0
like,like,s,Resemblances,1
to,to,s,,0
fare,fare,s,SubjectivePercept,0
the,the,s,Negativity,0
worse,worse,c,Negativity,1
.,.,nn,DirectAddress,0
And,and,s,DirectAddress,1
be,be,s,ReportingStates,0
not,not,n,DenyDisclaim,0
Drunk,drunk,s,PersonProperty,0
Sir,sir,s,PersonProperty,0
at,at,s,SpaceRelation,0
our,our,s,SpaceRelation,1
return,return,c,RecurringEvents,0
.,.,nn,,0
Yes,yes,s,DirectAddress,0
I,i,s,FirstPer,0
do,do,s,Intensity,0
use,use,n,ReportingEvents,0
To,to,s,GenericEvents,0
be,be,s,GenericEvents,1
drunk,drunk,s,PersonProperty,0
before,before,s,Sequence,0
you,you,s,DirectAddress,0
often,often,c,RecurringEvents,0
.,.,nn,,0
About,about,s,DirectAddress,0
your,your,s,DirectAddress,1
business,business,c,AbstractConcepts,0
:,:,n,,0
And,and,s,,0
how,how,s,Question,0
do,do,s,Question,1
like,like,s,Resemblances,0
the,the,s,Resemblances,1
town,town,c,SpaceRelation,0
",",",",s,,0
and,and,s,,0
situation,situation,c,AbstractConcepts,0
.,.,nn,,0
Trouble,trouble,s,Negativity,0
me,me,s,FirstPer,0
not,not,s,DenyDisclaim,0
to,to,s,DenyDisclaim,1
answer,answer,c,Specifiers,0
*,*,s,,0
such,such,s,Intensity,0
dull,dull,s,SenseProperty,0
questions,questions,c,Resistance,0
",",",",n,,0
I,i,s,FirstPer,0
see,see,s,,0
nere,nere,s,UNRECOGNIZED,0
a,a,s,Positivity,0
handsome,handsome,s,Positivity,1
girl,girl,s,PersonProperty,0
yet,yet,c,Resistance,0
",",",",s,,0
not,not,s,DenyDisclaim,0
a,a,s,DenyDisclaim,1
piece,piece,n,SenseObject,0
Of,of,s,SenseObject,1
a,a,s,,0
bonaroba,bonaroba,c,UNRECOGNIZED,0
;,;,s,,0
and,and,s,,0
the,the,s,,0
Duchess,duchess,s,PersonProperty,0
hold,hold,n,,0
But,but,s,Resistance,0
the,the,s,,0
complexion,complexion,s,SenseProperty,0
of,of,s,,0
those,those,s,,0
we,we,s,,0
ha,ha,s,OralCues,0
seen,seen,c,ReportingStates,0
",",",",n,ReportingStates,1
I,i,s,FirstPer,0
wonot,wonot,s,UNRECOGNIZED,0
be,be,s,ReportingStates,0
corrupted,corrupted,s,StandardsNeg,0
with,with,s,Specifiers,0
the,the,s,Specifiers,1
palace,palace,n,SenseObject,0
To,to,s,GenericEvents,0
be,be,s,GenericEvents,1
her,her,s,PersonPronoun,0
bedfellow,bedfellow,c,StandardsPos,0
.,.,nn,,0
You,you,s,DirectAddress,0
Will,will,s,PredictedFuture,0
change,change,s,Transformation,0
opinion,opinion,c,SubjectivePercept,0
;,;,n,,0
Perhaps,perhaps,s,Uncertainty,0
we,we,s,,0
ha,ha,s,OralCues,0
seen,seen,s,SpaceRelation,0
none,none,s,DenyDisclaim,0
but,but,s,Resistance,0
the,the,s,SenseObject,0
