DEpartinge,departinge,s,UNRECOGNIZED,0
from,from,s,,0
the,the,s,SenseProperty,0
darkened,darkened,s,SenseProperty,1
dens,dens,n,SenseObject,0
which,which,s,,0
Dicis,dicis,s,UNRECOGNIZED,0
low,low,s,AbstractConcepts,0
does,does,s,ReportingEvents,0
keep,keep,c,TimeDuration,0
",",",",n,,0
Lo,lo,s,DirectAddress,0
here,here,s,SpaceRelation,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
sent,sent,s,SceneShift,0
out,out,s,SceneShift,1
again,again,c,RecurringEvents,0
",",",",n,,0
from,from,s,,0
Tartar,tartar,s,SenseObject,0
Dungeon,dungeon,s,SenseObject,0
deep,deep,c,AbstractConcepts,0
",",",",n,,0
Thyestes,thyestes,s,UNRECOGNIZED,0
I,i,c,FirstPer,0
",",",",s,,0
that,that,s,,0
wheather,wheather,s,UNRECOGNIZED,0
coast,coast,n,SenseObject,0
to,to,s,,0
shun,shun,s,Negative_Relation,0
do,do,s,Intensity,0
stand,stand,s,SpaceRelation,0
in,in,s,SpaceRelation,1
doubt,doubt,c,Uncertainty,0
",",",",n,,0
Th'internall,th'internall,s,UNRECOGNIZED,0
fie^des,fie^des,s,UNRECOGNIZED,0
I,i,s,FirstPer,0
fly,fly,c,Motions,0
",",",",s,,0
the,the,s,,0
foalke,foalke,n,UNRECOGNIZED,0
of,of,s,,0
earth,earth,s,SpaceRelation,0
I,i,s,FirstPer,0
chase,chase,s,Motions,0
about,about,c,,0
.,.,n,,0
My,my,s,FirstPer,0
conscience,conscience,s,StandardsPos,0
lo,lo,s,DirectAddress,0
abhors,abhors,c,Negativity,0
",",",",s,,0
that,that,s,Insist,0
I,i,s,Insist,1
should,should,s,Insist,2
heather,heather,s,SenseObject,0
passage,passage,s,SenseObject,0
make,make,c,ReportingEvents,0
",",",",n,,0
Appauled,appauled,s,UNRECOGNIZED,0
sore,sore,s,Negativity,0
with,with,s,Fear,0
fear,fear,c,Fear,1
*,*,s,,0
and,and,s,,0
dread,dread,s,Fear,0
my,my,s,FirstPer,0
trembling,trembling,s,Motions,0
sinews,sinews,s,SenseObject,0
shake,shake,c,Motions,0
:,:,n,,0
My,my,s,Autobio,0
fathers,fathers,s,Autobio,1
house,house,c,SenseObject,0
",",",",s,,0
or,or,s,,0
rather,rather,s,Resistance,0
yet,yet,s,Resistance,0
my,my,s,FirstPer,0
brothers,brothers,s,PersonProperty,0
I,i,s,FirstPer,0
espy,espy,c,SpaceRelation,0
",",",",n,,0
This,this,s,ReportingStates,0
is,is,s,ReportingStates,1
the,the,s,,0
old,old,s,SenseProperty,0
and,and,s,,0
antique,antique,s,SenseObject,0
porche,porche,s,UNRECOGNIZED,0
of,of,s,,0
Pelops,pelops,s,UNRECOGNIZED,0
progeny,progeny,c,ProjectAhead,0
.,.,n,SpaceRelation,0
Here,here,s,SpaceRelation,1
first,first,s,Sequence,0
the,the,s,,0
Greeks,greeks,s,,0
on,on,s,,0
princes,princes,s,PersonProperty,0
heads,heads,s,SenseObject,0
do,do,s,Intensity,0
place,place,s,ReportingEvents,0
the,the,s,ReportingEvents,1
royal,royal,s,AbstractConcepts,0
crown,crown,c,AbstractConcepts,1
",",",",n,,0
And,and,s,Immediacy,0
here,here,s,Immediacy,1
in,in,s,,0
throne,throne,s,SenseObject,0
aloft,aloft,s,SpaceRelation,0
they,they,s,,0
lie,lie,c,Motions,0
",",",",s,,0
that,that,s,,0
ietteth,ietteth,s,UNRECOGNIZED,0
up,up,s,Motions,0
and,and,s,Motions,1
down,down,c,Motions,2
",",",",n,,0
With,with,s,,0
stately,stately,s,StandardsPos,0
Scepter,scepter,s,SenseObject,0
in,in,s,Specifiers,0
their,their,s,Specifiers,1
hand,hand,c,SenseObject,0
",",",",s,,0
eake,eake,s,UNRECOGNIZED,0
here,here,s,SpaceRelation,0
their,their,s,PersonPronoun,0
courts,courts,s,,0
do,do,s,Intensity,0
ly,ly,c,OralCues,0
",",",",n,,0
This,this,s,ReportingStates,0
is,is,s,ReportingStates,1
their,their,s,PersonPronoun,0
place,place,s,SpaceRelation,0
of,of,s,SpaceRelation,1
banqueting,banqueting,c,Positivity,0
",",",",s,,0
return,return,s,RecurringEvents,0
therefore,therefore,s,ReasonForward,0
will,will,s,PredictedFuture,0
I,i,c,FirstPer,0
.,.,n,,0
Nay,nay,c,OralCues,0
:,:,s,,0
better,better,s,Comparison,0
were,were,s,Contingency,0
it,it,s,Contingency,1
not,not,s,Contingency,2
to,to,s,,0
haunt,haunt,s,Negativity,0
the,the,s,Negativity,1
loathsome,loathsome,s,Negative_Relation,0
Limbo,limbo,s,Negativity,0
lakes,lakes,c,SenseObject,0
",",",",n,SpaceRelation,0
Where,where,s,SpaceRelation,1
as,as,s,,0
the,the,s,,0
Stygion,stygion,s,UNRECOGNIZED,0
porter,porter,s,PersonProperty,0
does,does,s,ReportingEvents,0
advance,advance,s,ReportingEvents,0
with,with,s,,0
lusty,lusty,s,UNRECOGNIZED,0
crakes,crakes,n,SenseObject,0
His,his,s,PersonPronoun,0
tryple,tryple,s,UNRECOGNIZED,0
gorge,gorge,s,SenseObject,0
be,be,s,ReportingStates,0
hong,hong,s,AbstractConcepts,0
with,with,s,,0
Mane,mane,s,SenseObject,0
shag,shag,s,SenseProperty,0
hatry,hatry,c,UNRECOGNIZED,0
",",",",s,,0
rusty,rusty,s,SenseProperty,0
black,black,c,SenseProperty,1
:,:,n,Question,0
Where,where,s,Question,1
^,^,c,UNRECOGNIZED,0
xions,xions,s,UNRECOGNIZED,0
Carcass,carcass,s,SenseObject,0
linked,linked,s,ReportingEvents,0
fast,fast,c,SubjectiveTime,0
",",",",s,,0
the,the,s,,0
whirling,whirling,s,Motions,0
wheel,wheel,s,SenseObject,0
does,does,s,ReportingEvents,0
rack,rack,c,SenseObject,0
",",",",n,,0
And,and,s,,0
rowleth,rowleth,s,UNRECOGNIZED,0
still,still,s,Updates,0
upon,upon,s,Immediacy,0
him,him,s,Immediacy,1
self,self,c,SubjectivePercept,0
:,:,s,Question,0
where,where,s,Question,1
as,as,s,,0
full,full,s,,0
often,often,s,RecurringEvents,0
in,in,s,Negativity,0
vain,vain,n,Negativity,1
Much,much,s,Intensity,0
toil,toil,s,Negativity,0
is,is,s,ReportingStates,0
lost,lost,c,ReportingStates,0
",",",",s,ReportingStates,1
(,(,c,,0
the,the,s,,0
tottring,tottring,s,UNRECOGNIZED,0
stone,stone,s,SenseObject,0
down,down,s,,0
tumbling,tumbling,s,Motions,0
back,back,s,,0
again,again,c,RecurringEvents,0
),),n,,0
Where,where,s,,0
growing,growing,s,Transformation,0
guts,guts,s,Motions,0
the,the,s,Motions,1
greedy,greedy,s,Negativity,0
gripe,gripe,s,Negativity,0
do,do,s,Intensity,0
gnaw,gnaw,s,Motions,0
with,with,s,,0
ravening,ravening,s,Intensity,0
bits,bits,c,AbstractConcepts,0
.,.,n,Question,0
Where,where,s,Question,1
parched,parched,s,SenseProperty,0
up,up,s,,0
with,with,s,,0
burning,burning,s,SenseProperty,0
thirst,thirst,s,SenseProperty,0
amid,amid,s,SpaceRelation,0
the,the,s,,0
waves,waves,s,SenseObject,0
he,he,s,PersonPronoun,0
st^s,st^s,c,UNRECOGNIZED,0
",",",",n,,0
And,and,s,,0
gapes,gapes,s,Motions,0
to,to,s,,0
catch,catch,s,ReportingEvents,0
the,the,s,ReportingEvents,1
flecting,flecting,s,UNRECOGNIZED,0
flood,flood,s,SpaceRelation,0
with,with,s,SpaceRelation,1
hungry,hungry,s,SenseProperty,0
chaps,chaps,s,PersonProperty,0
beguilde,beguilde,c,UNRECOGNIZED,0
",",",",n,,0
That,that,s,,0
pays,pays,s,ReportingEvents,0
his,his,s,PersonPronoun,0
parnefull,parnefull,s,UNRECOGNIZED,0
punishment,punishment,c,Negativity,0
",",",",s,,0
whose,whose,s,PersonPronoun,0
feast,feast,s,SenseObject,0
the,the,s,,0
Gods,gods,s,CommonAuthorities,0
defilde,defilde,c,UNRECOGNIZED,0
:,:,n,,0
Yet,yet,s,Resistance,0
that,that,s,,0
old,old,s,PersonProperty,0
man,man,s,PersonProperty,1
so,so,s,,0
stepped,stepped,s,SceneShift,0
in,in,s,SceneShift,1
years,years,s,TimeDuration,0
at,at,s,SubjectiveTime,0
length,length,s,SubjectiveTime,1
by,by,s,,0
trace,trace,s,SenseProperty,0
of,of,s,SenseProperty,1
time,time,c,,0
",",",",n,,0
How,how,s,,0
great,great,s,Intensity,0
a,a,s,,0
part,part,s,,0
belonges,belonges,s,UNRECOGNIZED,0
to,to,s,SelfDisclosure,0
me,me,s,SelfDisclosure,1
and,and,s,,0
portion,portion,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
his,his,s,PersonPronoun,0
crime,crime,c,StandardsNeg,0
?,?,n,Question,0
Account,account,s,AbstractConcepts,0
we,we,s,Inclusive,0
all,all,s,Inclusive,1
the,the,s,,0
grisly,grisly,s,Negativity,0
ghostes,ghostes,c,UNRECOGNIZED,0
",",",",s,,0
whom,whom,s,PersonPronoun,0
guilty,guilty,s,Negative_Relation,0
found,found,s,ReportingStates,0
of,of,s,ReportingStates,1
ill,ill,c,Negativity,0
",",",",n,,0
The,the,s,,0
Gnosian,gnosian,s,UNRECOGNIZED,0
Judge,judge,s,PrivateThinking,0
in,in,s,,0
Plutoes,plutoes,s,UNRECOGNIZED,0
pyts,pyts,s,UNRECOGNIZED,0
does,does,s,ReportingEvents,0
rosse,rosse,s,,0
in,in,s,,0
torments,torments,s,Negativity,0
still,still,c,Updates,0
:,:,n,,0
Thyestes,thyestes,s,UNRECOGNIZED,0
I,i,s,FirstPer,0
in,in,s,,0
driery,driery,s,UNRECOGNIZED,0
deeds,deeds,s,AbstractConcepts,0
will,will,s,PredictedFuture,0
far,far,s,SpaceRelation,0
surmount,surmount,s,ReportingEvents,0
the,the,s,,0
rest,rest,c,,0
",",",",n,Resistance,0
Yet,yet,s,Resistance,1
to,to,s,SelfDisclosure,0
my,my,s,SelfDisclosure,1
Brother,brother,s,PersonProperty,0
yield,yield,s,ReportingEvents,0
I,i,c,FirstPer,0
",",",",s,,0
(,(,c,,0
though,though,s,Concessive,0
I,i,s,FirstPer,0
gorgde,gorgde,s,UNRECOGNIZED,0
my,my,s,Anger,0
bloody,bloody,s,Anger,1
